stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,43,0,4,0,1,0,2,1,0,1,0,1,0,0,0,1,14,0,0,5,98,6,0,3,0,0,1,0,1,0,7,27,0,0,0,0,0
 24-34,0,0,0,0,13.95,26.27,0,14.78,0,1.64,1.64,2.46,0,0,1.64,0,0,1.64,0,0.82,0.82,26.27,0,0,15.6,365.28,20.52,3.28,6.57,0,0,2.46,0,11.49,0,4.93,58.28,0,0,4.93,0,1.64
 36-46,0,0,0,0,5.64,0.81,0,10.47,0.81,0,0.81,21.75,0,0,1.61,0,0,5.64,0.81,0,1.61,37.87,0,1.61,4.03,837.9,9.67,10.47,3.22,0,0,2.42,0,5.64,0,0.81,84.6,0,0,2.42,0,0.81
 48-58,0,0,0,0,10.9,4.02,0,124.52,0.57,2.87,5.74,57.38,1.15,0,1.15,0.57,0,5.74,1.15,0.57,1.15,104.43,0,0.57,8.61,1524.6,11.48,5.16,6.31,0,0.57,5.16,0,2.87,0,0,138.29,0,0.57,2.3,0,1.72
 60-70,0,0,0,0,7.85,3.93,0,206.12,0,5.89,9.82,99.13,0,0,4.91,2.94,1.96,11.78,0,0.98,0,178.64,0,4.91,11.78,2098.49,9.82,11.78,4.91,0,1.96,2.94,0,0,0.98,0,151.15,0,4.91,3.93,0.98,0
 72-82,0,0,0.98,0,25.52,19.63,0.98,269.96,0,5.89,12.76,100.13,1.96,0,2.94,2.94,1.96,2.94,0.98,0.98,0,301.37,0.98,4.91,11.78,1655.08,4.91,35.34,18.65,0,0,0.98,0.98,2.94,0,0,114.85,3.93,3.93,4.91,2.94,2.94
 84-94,1.06,0,1.06,0,31.86,32.92,2.12,234.71,2.12,6.37,10.62,82.84,2.12,0,2.12,10.62,1.06,7.43,2.12,3.19,2.12,193.29,0,4.25,9.56,762.54,5.31,21.24,14.87,0,0,6.37,0,4.25,1.06,0,57.35,1.06,4.25,1.06,2.12,1.06
 96-106,0,0,0,1.09,32.79,20.76,12.02,155.18,0,8.74,5.46,90.71,0,0,9.84,7.65,1.09,5.46,1.09,5.46,0,192.34,0,4.37,9.84,725.65,6.56,39.34,16.39,0,3.28,6.56,0,6.56,0,0,25.14,1.09,1.09,7.65,5.46,1.09
108-118,0,0,0,0.77,29.87,23.74,45.96,104.17,0,23.74,9.19,53.62,3.06,0,1.53,5.36,0,7.66,0.77,2.3,0,191.49,0.77,2.3,4.6,778.22,6.89,29.11,7.66,0,0.77,0.77,0,6.13,0,0,21.45,3.06,3.06,3.06,6.13,0
120,0,0,0,0,41.16,41.16,15.68,141.1,3.92,13.72,5.88,82.31,5.88,0,1.96,3.92,1.96,1.96,3.92,1.96,0,129.35,0,3.92,13.72,923.06,17.64,29.4,9.8,0,7.84,7.84,0,7.84,0,0,39.2,1.96,0,13.72,3.92,0
