stage,blastomeres,epidermis,eye,fin_epithelia,glial,heart,lateral_line,melanocytes,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0
 14-21,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,5.75,0,0,0,0,0,0,0,1.64,7.39,0,0,0,0.82,0
 36-46,0,2.42,0.81,0,0.81,0,0,0,0,2.42,12.89,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,1.72,16.07,0,0,0,0.57,0
 60-70,0,4.91,2.94,0.98,0,0,0.98,0,0,1.96,20.61,0,0,0,0,0
 72-82,0,1.96,0,0.98,0,0.98,0,0,0.98,1.96,44.17,0,0,0,0,0.98
 84-94,0,5.31,1.06,0,0,0,0,1.06,0,1.06,24.43,0,0,0,0,3.19
 96-106,0,7.65,0,1.09,1.09,0,0,0,2.19,3.28,48.09,1.09,0,0,0,8.74
108-118,0,13.79,0.77,1.53,0,0,0,0,0,1.53,29.87,0,0,0,0,12.26
120,0,5.88,1.96,1.96,0,0,0,0,0,0,21.56,0,0,0,0,1.96
