stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,1127.85,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,49.95,70.98,0,0,0,136.69,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1261.78,28.92,0,0,499.46,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,47.2,0,3.15,0,132.17,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1007.03,18.88,0,0,465.75,0,0,3.15,0,56.65,0,0,0,0,0,0,0
 14-21,0,0,14,65,17,0,55,0,0,0,25,3,0,1,0,3,0,0,0,0,69,0,0,46,895,9,4,10,31,0,6,2,144,0,76,258,0,0,4,0,0
 24-34,0,0,2.46,16.42,3.28,0,181.41,0,0.82,0,22.16,2.46,0,1.64,0,2.46,1.64,0.82,0,0,107.53,0,0.82,39.4,908.69,1.64,4.1,9.03,0,0,8.21,0,0,1.64,6.57,189.62,0,0,8.21,0,1.64
 36-46,0,0,0.81,8.86,0.81,0,237.67,0,0,0.81,15.31,1.61,0,1.61,0.81,0.81,1.61,0,1.61,0,95.07,0.81,1.61,28.2,462.45,1.61,0.81,6.45,0,0,6.45,0.81,0,0,0,108.77,0,0,8.06,0,0
 48-58,0.57,0,0,8.61,0.57,0,169.27,0,0.57,2.87,19.51,1.72,1.15,0.57,1.15,0,0.57,0.57,0,1.72,81.48,0,5.74,21.8,164.11,2.3,0,3.44,0,0.57,0.57,0,0,0,0,29.84,0,0,3.44,0,1.72
 60-70,0,0,0,15.7,0,0,135.45,0,1.96,1.96,41.22,1.96,0,0,1.96,0,0.98,0.98,0,0,70.67,0,1.96,14.72,144.28,0.98,0.98,1.96,0,0,3.93,0,0,0.98,0,12.76,0,0.98,7.85,0,0
 72-82,0,0,0.98,13.74,2.94,0,57.92,0,0.98,8.83,53.01,2.94,0,2.94,4.91,0.98,1.96,0.98,0,0,101.11,0,2.94,17.67,125.65,0,1.96,1.96,0,0,6.87,0,0,0,0,11.78,0.98,0,10.8,1.96,0
 84-94,0,0,0,19.12,3.19,1.06,70.09,0,2.12,1.06,30.8,2.12,0,2.12,9.56,3.19,3.19,3.19,1.06,1.06,92.4,3.19,8.5,21.24,103.02,0,0,3.19,0,0,19.12,0,0,1.06,0,5.31,2.12,0,8.5,1.06,2.12
 96-106,0,0,0,19.67,4.37,1.09,52.46,1.09,2.19,6.56,38.25,6.56,1.09,4.37,15.3,1.09,0,1.09,2.19,0,89.61,1.09,3.28,18.58,91.8,1.09,1.09,8.74,0,1.09,22.95,0,0,0,0,5.46,0,1.09,7.65,3.28,2.19
108-118,0,0,0.77,22.98,9.96,0,68.17,0,5.36,5.36,38.3,3.83,0,0.77,6.13,2.3,4.6,1.53,3.83,0.77,84.26,3.83,3.06,16.85,149.36,4.6,3.06,8.43,0,1.53,19.92,0,0,0,0,4.6,0.77,1.53,11.49,0,5.36
120,0,0,0,43.12,13.72,1.96,60.75,1.96,5.88,5.88,68.59,5.88,0,1.96,11.76,1.96,1.96,1.96,0,1.96,86.23,1.96,5.88,37.24,205.78,0,3.92,9.8,0,0,41.16,0,0,0,0,7.84,0,0,11.76,3.92,3.92
