stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,3,0,0,1,6,0,0,0,0
 24-34,0,0,0,2.46,0,0,9.85,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,7.39,0,2.46,54.18,0,0,0,0,0.82,0,0,0,2.46,16.42,0,1.64,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0.81,5.64,0,0.81,0,0,0,0,0,0.81,2.42,0.81,1.61,37.06,0,0,0.81,0,1.61,0,0,0,0.81,4.83,0,0.81,0,0
 48-58,0,0,0,0,0,0,11.48,0,0.57,0,4.02,0,0,0,0,0,0,0,0,6.31,0.57,1.15,24.1,0,0,0.57,0,0.57,0,0,0,0,7.46,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,13.74,0,0,0,7.85,0,0,0,0,0,0.98,0,0,3.93,0,0.98,20.61,0,0,0.98,0,0.98,0,0,0,0,1.96,0,0,0,1.96
 72-82,0,0,0,1.96,0,0,8.83,0,1.96,0,3.93,0,0,0,0,0,0,1.96,0,2.94,0,0,15.71,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0.98
 84-94,0,0,0,2.12,0,0,7.43,0,0,1.06,4.25,1.06,0,0,0,1.06,0,0,0,8.5,1.06,1.06,6.37,1.06,0,1.06,0,0,0,0,0,0,3.19,1.06,2.12,0,0
 96-106,0,0,0,2.19,2.19,1.09,8.74,0,0,1.09,3.28,0,0,1.09,0,1.09,0,0,0,9.84,0,2.19,6.56,0,0,0,0,2.19,0,0,1.09,0,0,1.09,2.19,1.09,0
108-118,0,0,0,3.83,0.77,0.77,5.36,0.77,0,0,3.06,1.53,0,0,0,0,0,0,2.3,6.89,0,4.6,12.26,0,1.53,1.53,0,1.53,0,0.77,0.77,0,0,0,0,0,1.53
120,1.96,0,0,3.92,0,1.96,7.84,0,0,1.96,5.88,3.92,0,1.96,0,0,0,0,0,7.84,0,1.96,23.52,0,0,1.96,0,9.8,0,1.96,0,0,1.96,0,0,0,1.96
