stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,2,1,1,6,0,0,0
 24-34,0,0,1.64,0,0,0,3.28,0,0,3.28,0,0.82,0,0,0,0.82,0,0.82,23.8,1.64,0.82,1.64,0,0,10.67,0,0,0
 36-46,0,0,0,1.61,0,0,6.45,0,0,1.61,0,0,0,0.81,0.81,1.61,0,2.42,52.37,4.03,0,0,0.81,0,16.11,0,0.81,0
 48-58,0,0,0,0,0,0,14.92,0.57,0,4.59,0,0,0,0,0,4.59,0.57,0.57,51.64,1.72,0.57,1.15,0,0,11.48,0,0,0
 60-70,0,0,0,0.98,0,0,10.8,0,0,0.98,0,0,0,0,0,5.89,0,2.94,42.21,1.96,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,22.58,0.98,0.98,4.91,0,0,0,0.98,0,8.83,0,0,63.81,1.96,0,0.98,0,0,5.89,0,0,0
 84-94,0,0,0,0,0,0,10.62,0,0,5.31,0,0,0,1.06,0,4.25,0,0,27.61,4.25,1.06,3.19,1.06,0,5.31,0,0,0
 96-106,0,0,0,1.09,1.09,0,10.93,0,0,1.09,1.09,0,1.09,0,0,6.56,0,1.09,31.69,5.46,0,3.28,0,0,4.37,0,0,0
108-118,0,0.77,0,0.77,0,0.77,4.6,0.77,0,3.83,0.77,0,0,0,0,3.06,0,0,16.09,0,0,0.77,0,0,1.53,0.77,0,1.53
120,0,0,0,3.92,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0,0,21.56,0,0,0,0,0,0,0,0,0
