stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,6,0,0,0,0,0,0,0,2,3,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,10.67,0,4.1,33.66,0,3.28,0,0,0,0,0,1.64,7.39,0,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,0.81,0,3.22,0.81,0,0,0,0,0.81,0,0,5.64,0,1.61,68.48,0.81,2.42,0,0,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,14.92,0,0,0,4.59,0,0.57,0,0,0,1.72,0,0,12.62,0,1.72,92.38,0,1.15,0.57,0,0,0,0,0,5.74,0,0,0.57,0,0.57
 60-70,0,2.94,0,0,23.56,0,0,0,7.85,0.98,0,0,0,1.96,0,0,0,12.76,0,0,168.82,0,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0
 72-82,0,2.94,0,0,42.21,0,0.98,0.98,9.82,0,0.98,0,0,0,0,0,0,17.67,6.87,1.96,360.27,0,1.96,0,0,1.96,0.98,0.98,0,7.85,0,2.94,0,18.65,0
 84-94,0,4.25,1.06,0,43.54,0,0,1.06,8.5,1.06,0,1.06,0,0,0,0,0,12.74,2.12,0,189.04,0,1.06,0,0,1.06,2.12,0,0,4.25,0,5.31,1.06,26.55,0
 96-106,0,1.09,0,0,60.11,0,0,1.09,13.11,0,0,0,0,0,1.09,1.09,0,14.21,4.37,3.28,230.59,0,1.09,0,0,2.19,2.19,0,0,3.28,0,1.09,1.09,48.09,0
108-118,0,3.06,0,0.77,44.43,0,0.77,0,9.96,1.53,0,0.77,0.77,0.77,0,0,0.77,13.02,2.3,0.77,238.98,0,1.53,0,0,3.83,0,0,0,0.77,0.77,2.3,0,29.87,0
120,0,5.88,0,0,39.2,1.96,0,0,5.88,7.84,0,0,0,3.92,0,0,0,9.8,0,1.96,386.08,1.96,0,0,0,0,5.88,0,0,1.96,0,5.88,0,35.28,0
