stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,0,0,123.55,0,0,0,0,0,0,0,0,0,0,0,0,0,775.47,2.63,0,39.43,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,28.32,0,56.65,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,1,2,3,0,0,0,0,9,3,0,0,1,0,0,2,0,7,20,24,0,2,0,1,2,0,18,166,0,1,0
 24-34,0,0,0,1.64,4.1,0.82,0,0,3.28,7.39,0,0,0,0,0,0,18.06,0,21.34,20.52,11.49,0,0,0,0,0,0,7.39,105.07,0,1.64,0
 36-46,0,0,0,0,0,2.42,0,0,8.06,2.42,0,1.61,0,0,0,0,32.23,0,19.34,14.5,3.22,0,0,0,0,0,0,0,53.98,0,1.61,0
 48-58,0,0,0,0,0,2.3,0,0.57,7.46,3.44,0,4.59,0,0,0.57,0,84.35,0.57,14.92,12.62,1.72,0.57,0,0,0.57,0,0.57,0,35.58,0,0.57,0.57
 60-70,0,0,0,0,0,4.91,0,0.98,11.78,1.96,0,3.93,0,0,0,0,162.93,2.94,14.72,12.76,0.98,0,0,0,0,0,0,0,15.7,0,0,0.98
 72-82,0,0,0,1.96,0,9.82,0,2.94,18.65,5.89,0,2.94,0,0,0,0,238.54,2.94,10.8,17.67,1.96,0.98,0,0,0,0,0,0,24.54,0.98,0,1.96
 84-94,0,0,0,2.12,0,15.93,2.12,1.06,7.43,1.06,1.06,1.06,0,0,0,0,152.93,4.25,4.25,10.62,0,0,0,0,1.06,0,0,0,22.3,1.06,1.06,4.25
 96-106,0,0,0,1.09,2.19,8.74,3.28,1.09,9.84,3.28,0,4.37,0,0,1.09,0,132.23,0,3.28,21.86,0,0,0,0,0,0,1.09,0,16.39,0,3.28,4.37
108-118,0,0,0,1.53,1.53,4.6,1.53,1.53,13.02,1.53,0,3.06,0,0,0,0.77,107.23,0,5.36,5.36,0,0,0,0.77,0,0,0,0,13.02,0,0.77,3.83
120,0,0,0,0,1.96,9.8,0,0,9.8,1.96,0,0,1.96,0,0,0,96.03,1.96,1.96,13.72,0,0,0,0,0,0,0,0,9.8,0,0,0
