stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,105.42,8394.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,4309.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.18,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,1,0,0,4,1,0,0,0,0,0,7,0,0,7,9,2,0,0,0,26,0,1,21,14,1,7,0,0,0,0
 24-34,0,0,0,7.39,3.28,0,4.93,0,0,0,2.46,4.93,0,0.82,0,0,0,0,47.61,0.82,0,10.67,36.12,0,0,0,0,86.19,0,0,36.94,27.91,0.82,7.39,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,8.86,0,0,0,5.64,4.83,0,0,0,0,0,0,21.75,3.22,0,4.83,57.2,0,0.81,0,0,108.77,0,0,21.75,16.11,0,13.7,0,0,1.61,0
 48-58,0,0,0,0,0.57,0.57,14.92,0,0,0,2.87,1.15,0,0.57,0,0,0,0,12.62,0.57,1.15,4.59,31.56,0,6.31,0,0,67.14,0.57,0,9.75,5.16,0,10.33,0,0,0,0.57
 60-70,0,0,0.98,0,0.98,0,17.67,0,0.98,0,2.94,4.91,0,0,0,1.96,0,0,8.83,0,0,4.91,53.98,0,9.82,0,0,36.32,0,0,20.61,2.94,0,9.82,0,0.98,1.96,0.98
 72-82,0,0,0,0,0.98,0,31.41,0,0,0.98,7.85,0.98,0,0,0.98,0.98,0,0,12.76,0,0.98,0.98,35.34,0,4.91,0,0,13.74,0,0,16.69,0.98,0,4.91,0,0.98,0,0
 84-94,0,0,1.06,1.06,0,0,46.73,0,1.06,2.12,6.37,16.99,0,0,0,0,0,0,3.19,0,2.12,3.19,19.12,0,11.68,0,0,21.24,0,0,38.23,0,0,3.19,1.06,0,0,1.06
 96-106,0,0,0,2.19,2.19,0,52.46,1.09,1.09,1.09,3.28,16.39,0,0,3.28,0,4.37,1.09,14.21,0,0,2.19,22.95,0,8.74,0,1.09,13.11,0,0,44.81,1.09,0,2.19,1.09,0,1.09,0
108-118,0,0,0,3.83,3.06,0,34.47,0,0.77,0,7.66,23.74,0,0,0.77,0,2.3,0,6.89,0,0,2.3,19.92,0,4.6,0,0,4.6,0,0,29.11,0.77,0,0,0,0,0,0
120,0,0,0,3.92,5.88,0,9.8,0,0,0,1.96,7.84,0,0,1.96,0,0,1.96,7.84,0,0,0,29.4,1.96,5.88,0,0,1.96,0,0,23.52,0,0,1.96,0,0,0,0
