stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,1186.01,18541.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.72,0,0,0,0,0,0,0
  5-6,1195.28,14349.48,18.39,0,0,0,0,0,0,6.13,0,0,0,0,0,171.63,24.52,0,0,49.04,239.06,0,0,0,0,0,0,0
  7-9,52.57,84.12,73.6,0,0,107.78,0,0,0,39.43,0,0,0,0,0,1958.39,49.95,0,0,630.89,5.26,39.43,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,0,25.18,0,0,0,6.29,0,0,0,0,0,138.47,12.59,0,0,62.94,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,1,13,3,1,0,1,1,0,0,0,2,0,2,34,1,0,2,0,2,1,11,0,10,15,1,0
 24-34,0,0,0,4.1,0,2.46,0,1.64,0,0,0,4.1,0.82,0,2.46,13.13,0.82,0,0,0,3.28,0,0,0,0,4.1,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,2.42,0,0,12.09,0,1.61,0,0,1.61,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,3.44,0,0,0.57,0,0,0,0,0,0,6.89,0,0,0,0,1.72,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,2.94,0,0.98,0.98,0,0,0,0.98,0,0,3.93,0,0.98,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,5.89,0,0.98,0.98,0,0,0,0,0.98,0,2.94,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0,0,3.19,0,0,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,1.09,1.09,0,0,0,0,1.09,2.19,1.09,0,4.37,0,2.19,2.19,0,6.56,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,1.53,0,0.77,0,0,0,0,2.3,0.77,0,0,0,1.53,0,0,4.6,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
