stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,751.14,12967.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0,0
  5-6,833.63,8642.79,0,24.52,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,110.33,6.13,0,0,73.56,196.15,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,0,13.14,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,346.99,7.89,0,0,78.86,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,2,3,0,0,0,0,0,28,95,1,0,0,0,0,0,3,0,0,2,11,0,1,0,2,5,0,6,0,2,32,0,0,0,0,0
 24-34,0,0,0,5.75,1.64,0,0,0.82,0,0,0,4.93,55,4.93,0.82,0,0,0.82,0,3.28,0.82,0,0.82,17.24,0,0,0,0,6.57,0,10.67,0,0,9.03,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,4.03,18.53,4.03,0,0,0,0,0,2.42,3.22,0,0,14.5,0,0.81,0,0,8.86,0,8.86,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,3.44,0,0.57,1.15,2.3,37.87,8.03,0,0,0.57,1.15,0.57,2.87,4.59,0,0,13.2,0,0,0,0,2.3,0,4.02,0,0,0.57,0,0,0,0,0
 60-70,0,0,2.94,0,0,0,0,1.96,0.98,0,1.96,2.94,16.69,15.7,0,0,0,0,0,2.94,2.94,0,0,11.78,0,0.98,0,0,2.94,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,18.65,0,3.93,0,0,5.89,0,0,0,4.91,14.72,17.67,0,0,0.98,2.94,0,5.89,7.85,0,0,6.87,0,0,0.98,0,2.94,0,1.96,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,22.3,0,2.12,1.06,2.12,10.62,0,0,1.06,7.43,19.12,19.12,0,0,0,7.43,0,4.25,6.37,1.06,0,7.43,0,1.06,0,0,9.56,1.06,13.81,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,19.67,1.09,7.65,0,0,8.74,0,0,4.37,15.3,2.19,28.41,0,0,0,4.37,0,2.19,5.46,1.09,2.19,6.56,0,2.19,0,0,15.3,0,3.28,1.09,0,0,0,0,1.09,3.28,1.09
108-118,0,0,13.79,0.77,12.26,0,2.3,6.13,0.77,0,0.77,15.32,0,26.04,0,0.77,0,10.72,0,4.6,5.36,0,0,6.13,0,0,0,0,7.66,0,5.36,4.6,0,0,0.77,0,0,0.77,0
120,0,0,13.72,0,25.48,1.96,0,7.84,1.96,1.96,5.88,7.84,0,21.56,1.96,0,0,15.68,0,0,3.92,0,0,3.92,0,0,0,0,11.76,0,7.84,0,0,0,0,0,0,1.96,0
