stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,1.64,0.82
 36-46,0,0,0.81,0,5.64,0,0,0,2.42,0,0,67.68,0,0.81,0,0,17.72,1.61
 48-58,0,0,4.02,0,11.48,0,0,0,2.87,0,0,60.82,0,0.57,0,0,18.36,0
 60-70,0,0,1.96,0,6.87,0,0,0.98,4.91,0,0,35.33,0,0,0,0,3.93,0
 72-82,0,0,0.98,0,6.87,0,0,0,5.89,0.98,0,22.58,0,0,0,0.98,6.87,0.98
 84-94,0,0,2.12,1.06,2.12,1.06,0,0,4.25,0,1.06,9.56,0,0,0,0,2.12,2.12
 96-106,2.19,1.09,2.19,0,2.19,0,1.09,0,4.37,0,1.09,13.11,1.09,1.09,0,0,2.19,1.09
108-118,0.77,0,3.06,0.77,1.53,0,0,0.77,3.06,0,0,9.19,0,0,0,0,1.53,0
120,0,0,1.96,0,1.96,0,0,0,3.92,0,0,11.76,0,0,0,0,1.96,0
