stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,7,2,4,0,0,2,1,0,0,0,6,0,0,1,42,1,0,2,2,1,11,2,22,22,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,0.82,0,0,0,0.82,5.75,0,0,1.64,43.51,0,0,0,0,0,0,0.82,4.93,8.21,0,0.82,0,0
 36-46,0,0.81,0,0.81,2.42,0,0,3.22,0,0,0,0,4.03,0,0,2.42,20.95,0,0.81,0,0,2.42,0,0.81,0,4.03,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,2.87,0,0,0,0,4.59,0,0.57,4.02,24.1,0,0,0,0,1.15,0,1.72,0,6.31,0,1.72,0,0.57
 60-70,0,0,0,0,7.85,0,0.98,0.98,0,0,0,0,1.96,0,0.98,0,14.72,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,7.85,0,0.98,3.93,0,0.98,0,0,11.78,0,4.91,8.83,34.36,0,0,0,0,0,0,1.96,0,3.93,2.94,0.98,1.96,0
 84-94,0,0,1.06,0,0,0,0,1.06,1.06,0,0,0,6.37,0,1.06,4.25,11.68,0,0,0,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,1.09,3.28,1.09,0,1.09,1.09,0,1.09,0,10.93,1.09,0,2.19,13.11,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0
108-118,0,0,1.53,0,2.3,0,0,3.06,1.53,0,0.77,0,6.13,0,1.53,2.3,7.66,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,7.84,0,0,0,0,7.84,0,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0
