stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0
  7-9,2.63,7.89,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.44,2.63,0,0,36.8,2.63,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,3.15,0,0,12.59,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,2,10,2,0,3,0,0,1,1,0,0,1,0,0,0,0,5,0,0,25,0,1,3,1,1,4,0,0,5,0,0
 24-34,0,0,0,0.82,1.64,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,3.28,0,4.1,19.7,0,7.39,1.64,0,9.85,0,1.64,0.82,5.75,0,3.28
 36-46,0,0,0,0,0.81,0,0,3.22,0.81,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,7.25,0,6.45,0,0,3.22,0,0.81,0,1.61,0,0.81
 48-58,0,0,0,0,0.57,0,0,1.15,0,0,1.72,0.57,0.57,0,1.15,0,0,0,0,2.3,0,0.57,7.46,0.57,3.44,3.44,0,3.44,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0.98,7.85,0,2.94,1.96,0,3.93,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,5.89,0.98,0.98,1.96,1.96,0.98,0,1.96,0,2.94,0,0.98,3.93,0.98,0,10.8,0,2.94,3.93,0,3.93,0,0,0,1.96,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,6.37,0,0,1.06,2.12,0,0,1.06,1.06,4.25,0,0,5.31,0,0,3.19,0,1.06,2.12,0,9.56,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,6.56,7.65,0,9.84,0,0,3.28,6.56,0,1.09,3.28,0,4.37,0,0,1.09,0,1.09,4.37,0,12.02,6.56,0,10.93,0,0,0,0,2.19,1.09
108-118,0,0,2.3,1.53,7.66,6.89,2.3,5.36,3.83,0,3.06,3.83,0,0,2.3,0,0,0.77,0,3.06,0,0.77,3.06,0.77,3.83,6.89,0,4.6,0,1.53,0,0,1.53,0
120,0,0,1.96,0,7.84,5.88,0,3.92,0,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,5.88,3.92,0,9.8,0,1.96,0,0,0,0
