stage,epidermis,eye,fast_muscle,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,2,0,0,0,1,0
 24-34,1.64,1.64,0,0,0,2.46,0,1.64,2.46,0,0.82,0,3.28,0
 36-46,0.81,0,0,0,1.61,3.22,0,0.81,3.22,0,0,0.81,1.61,0
 48-58,0,0,0.57,0,0,1.72,0.57,0.57,0.57,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
