stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,0,0,218.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.16,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,3.15,0,0,343.02,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,701.77,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,20,0,1,0,4,0,0,1,0,1,1,0,1,0,7,0,0,37,1089,0,0,0,2,0,0,17,2,18,129,23,0,0,1,0,0
 24-34,0,0.82,0,4.93,0,25.45,0,0.82,0.82,27.91,0.82,0.82,0.82,0,0.82,0,0,0.82,0.82,84.55,0,0.82,142.01,2040.65,1.64,1.64,0.82,0,0,3.28,0.82,0.82,1.64,32.01,122.31,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,19.34,2.42,0,8.86,82.98,0,0,0,0,0,0,0,0,0.81,136.16,0,0,109.57,1386.56,1.61,1.61,0,0,0,0.81,0,0,0,0,80.57,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,45.9,0.57,0,10.9,150.34,0,0,1.15,0,0,0,0.57,0,0.57,160.09,0,0,86.07,838.9,0,0,0,0,0,0.57,0,0,0.57,0,51.07,0,0,0,0,1.72
 60-70,0,0,0,0.98,0,30.43,0.98,0,7.85,149.19,0,0,0,0.98,0,0.98,0,0,0,111.89,0,0,36.32,612.47,0,0,0,0,0,0,0,0,1.96,0,18.65,0,0.98,0,0,0.98
 72-82,0,0,0,4.91,0.98,82.46,0,0,11.78,226.76,0,0,0,0,0,0.98,0,0.98,0,173.75,0,0,70.68,692.07,0,1.96,0,0,0.98,1.96,0,0.98,0,0,3.93,0,1.96,1.96,0,0.98
 84-94,0,0,0,10.62,2.12,94.52,1.06,1.06,7.43,146.56,0,0,0,0,0,0,1.06,1.06,0,121.07,0,2.12,23.36,331.36,0,1.06,0,0,0,3.19,0,0,0,0,7.43,1.06,1.06,0,1.06,1.06
 96-106,0,0,0,6.56,1.09,75.41,0,1.09,7.65,168.3,0,0,0,0,0,0,0,2.19,0,128.96,1.09,1.09,27.32,328.95,0,1.09,0,0,0,3.28,0,0,1.09,0,4.37,1.09,0,0,1.09,0
108-118,0,0,0,6.13,1.53,28.34,1.53,0,5.36,143.24,0,0,0.77,1.53,0,0,0,0.77,0,82.72,0,0.77,25.28,448.09,0,0.77,1.53,0,0.77,0,0,0,0.77,0,3.06,0,0,3.06,0.77,0.77
120,1.96,0,0,13.72,3.92,29.4,0,0,3.92,123.47,0,0,0,0,0,0,0,0,0,70.55,1.96,1.96,11.76,401.76,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
