stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0
 36-46,34.64,0,0.81,2.42,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0,8.86,0,0,0
 48-58,102.71,0,2.3,12.62,0,0,0,0,0,0,0,0.57,0,3.44,0,0,3.44,1.15,0,0
 60-70,198.27,0.98,2.94,40.24,0,0,0,0,0.98,0,0.98,3.93,0.98,0.98,0,0,8.83,1.96,0,0
 72-82,137.43,0,0,10.8,0,0,0,0,0,0,0,0.98,0,1.96,0,0,8.83,0.98,0,0
 84-94,135.94,1.06,1.06,29.74,0,0,0,0,0,0,1.06,2.12,0,0,0,0,15.93,0,0,2.12
 96-106,112.56,1.09,2.19,10.93,0,0,0,0,0,0,4.37,1.09,0,4.37,0,0,22.95,1.09,0,0
108-118,191.49,1.53,9.96,33.7,1.53,0,0.77,0.77,0,0,1.53,0,0.77,6.13,0.77,0,16.85,0,0.77,1.53
120,962.25,3.92,13.72,162.66,7.84,1.96,0,0,0,0,3.92,13.72,1.96,11.76,0,1.96,31.36,0,0,0
