stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,glial,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,0,2,0,0,1,13,1,1,0,0,0,1,2,2,0,1,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,17.24,0.82,0,0,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,0,0.81,4.83,0,0.81,0,0,0,3.22,0,0,1.61,25.78,0,0,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,13.77,0,7.46,0,0,0.57,3.44,0.57,0,0.57,42.46,0,0.57,0,0,0.57,0,0,10.9,0,1.15,0
 60-70,0,0,0,0,4.91,0,4.91,0,0,0,0.98,0,0,0,7.85,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,3.93,0,2.94,0,0,0,1.96,0,0,0.98,15.71,0,0,0,0,0,0,0,4.91,0,0,0
 84-94,0,0,0,1.06,5.31,0,2.12,0,0,1.06,1.06,0,1.06,0,7.43,0,2.12,1.06,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,4.37,0,2.19,0,1.09,0,4.37,0,0,0,19.67,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,6.13,0.77,3.06,0.77,0,0,2.3,0,0,0,7.66,0,0,0.77,0,0,0,0,0.77,0.77,0.77,0.77
120,0,0,0,0,3.92,0,0,1.96,0,0,3.92,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
