stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,13.7,0,0,0,0,0,0,1.61,0
 48-58,0,0,1.15,4.59,0,0,0.57,0,0,0,0.57,1.15,0,1.15,26.4,0,0,0,0,0,0,5.16,0
 60-70,0,0,0.98,6.87,0,0,1.96,0.98,0.98,0.98,0,7.85,0,1.96,49.08,0,0,0,0.98,0,0,3.93,0
 72-82,0,0,2.94,7.85,0.98,0.98,1.96,0,0.98,0,1.96,9.82,0,0,39.27,0.98,0,0,0.98,0,0,3.93,0
 84-94,0,0,4.25,5.31,0,0,1.06,2.12,2.12,1.06,1.06,7.43,0,0,25.49,0,1.06,0,2.12,0,0,3.19,1.06
 96-106,0,0,3.28,5.46,0,0,2.19,0,0,0,0,5.46,1.09,1.09,20.76,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0,3.83,0,0,0.77,1.53,0.77,0,0,3.06,0.77,0,22.98,0,0.77,0,0,0,0,0.77,0.77
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,27.44,0,0,0,0,0,0,1.96,0
