stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,894.93,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.89,12.26,0,0,116.46,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,65.72,99.89,0,0,13.14,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,1545.68,168.24,0,0,2095.08,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,138.47,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,988.15,138.47,0,0,1466.49,0,6.29,3.15,6.29,72.38,0,9.44,0,0,0,0,0,0
 14-21,0,1,11,257,18,19,0,6,0,0,11,0,1,0,2,0,1,0,10,70,1,0,65,337,41,0,5,119,0,11,0,387,3,0,117,88,0,0,5,0,2
 24-34,0,0,1.64,59.92,0.82,12.31,0,5.75,6.57,0.82,1.64,0,2.46,0.82,2.46,0,21.34,1.64,12.31,151.04,0,0,84.55,462.96,11.49,0,9.85,0,0,56.64,0,0,1.64,0,32.83,32.83,0,0,27.91,0,1.64
 36-46,0,0,0,30.62,0.81,20.95,0,0,20.14,8.06,2.42,0,1.61,0,0,0,13.7,2.42,1.61,255.4,0.81,0.81,74.93,1241.54,8.06,1.61,16.11,0,0,74.12,0,0.81,1.61,0,0,36.26,0,0,22.56,0,5.64
 48-58,0,0,0,40.74,0,78.04,0.57,2.3,21.8,29.84,1.15,0,2.3,0.57,0,0.57,12.62,1.72,1.15,281.16,0.57,1.72,47.05,1816.09,4.02,0.57,9.75,0,0,80.33,0,0,1.15,0,0,31.56,0,0,29.26,0,6.31
 60-70,0,0,0,34.35,0,62.82,0.98,4.91,17.67,25.52,0.98,0,2.94,0,2.94,0,7.85,0,0.98,327.83,2.94,3.93,27.48,2081.81,1.96,0.98,8.83,0,0.98,62.82,0,0,0,0,0,15.7,0.98,0.98,27.48,0,7.85
 72-82,0,0,0,45.16,2.94,160.99,0,0,28.47,55.95,1.96,0,3.93,1.96,10.8,1.96,5.89,0,1.96,383.83,0,2.94,34.36,1559.86,1.96,0.98,7.85,0,1.96,60.86,0,0,0,0,0,5.89,1.96,1.96,43.19,0.98,9.82
 84-94,0,0,0,92.4,2.12,193.29,2.12,5.31,31.86,43.54,2.12,0,2.12,1.06,9.56,3.19,8.5,0,0,279.32,0,2.12,28.68,858.13,2.12,0,7.43,0,1.06,132.75,0,0,1.06,2.12,0,12.74,9.56,3.19,25.49,0,12.74
 96-106,0,0,0,109.28,3.28,116.93,1.09,6.56,12.02,52.46,2.19,0,5.46,0,10.93,2.19,4.37,0,0,287.42,2.19,5.46,22.95,676.47,0,3.28,7.65,0,1.09,66.66,0,0,0,0,0,4.37,8.74,2.19,38.25,2.19,7.65
108-118,0,0,0,62.04,0.77,58.98,1.53,2.3,16.85,32.17,9.96,0,2.3,2.3,11.49,0.77,5.36,1.53,2.3,217.53,1.53,0.77,19.15,900.01,2.3,3.83,13.02,0,0.77,45.96,0,0,0,0,0,2.3,15.32,0,26.81,0.77,15.32
120,0,0,0,64.67,3.92,127.39,1.96,3.92,15.68,35.28,3.92,0,3.92,1.96,7.84,0,0,1.96,0,166.58,1.96,5.88,15.68,740.8,1.96,0,5.88,0,0,37.24,0,0,0,0,0,1.96,11.76,5.88,31.36,0,1.96
