stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,10.51,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,1
 24-34,0,0,0,0,0,0,0,0,0,3.28,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,1.96,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,3.93,9.82,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0
