stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,2.63,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,11,2,7,0,0,0,1,1,1,1,0,0,0,0,0,1,14,0,10,91,1,0,0,1,0,2,16,0,14,28,22,0,0,1,0,0
 24-34,0,0,0.82,4.1,0,18.88,0,0,0,2.46,0,0,0,0,0.82,0,0.82,0,0,7.39,0,8.21,149.4,1.64,0,1.64,0,0,2.46,0,0,0,5.75,30.37,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,18.53,3.22,0,0,6.45,0,0,0.81,0,0.81,0,0.81,0.81,0,12.09,1.61,2.42,112.79,0.81,0.81,1.61,0,0,0,0,0,0,0.81,28.2,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,29.84,1.72,0,0,6.89,0.57,0,0.57,0,0,0,0.57,0,0.57,24.67,0,2.3,92.38,0.57,0,0.57,0,0.57,3.44,0,0,0.57,0,22.38,0,0,1.15,0,0
 60-70,0,0,0,1.96,0,52.02,1.96,0,0.98,9.82,0.98,0,0.98,0,0,0,0.98,0,0,23.56,0,1.96,87.36,0,0,0.98,0,0,2.94,0,0,0,0,21.59,0,0,1.96,0,0
 72-82,0,0,0,2.94,0,52.03,0.98,0,3.93,16.69,0,0,0.98,2.94,0,0,0,0.98,0,26.5,0,3.93,86.39,0.98,1.96,0,0,0.98,3.93,0,0,0,0,4.91,0.98,0.98,3.93,0,0
 84-94,0,0,0,0,1.06,47.79,1.06,1.06,0,13.81,1.06,0,0,3.19,0,1.06,2.12,0,0,35.05,0,1.06,57.35,0,1.06,1.06,0,0,5.31,0,0,0,0,7.43,1.06,0,2.12,2.12,0
 96-106,0,0,0,4.37,0,32.79,1.09,1.09,2.19,8.74,0,0,0,1.09,0,2.19,1.09,0,1.09,37.16,1.09,5.46,40.44,0,2.19,1.09,0,1.09,6.56,0,0,0,0,4.37,0,2.19,3.28,2.19,0
108-118,0,0,0,13.79,1.53,22.98,1.53,0.77,2.3,10.72,0,0,0,0,0.77,0.77,2.3,1.53,0,27.57,0.77,9.19,54.38,1.53,0,1.53,0,0,3.06,0,0.77,0,0,4.6,1.53,0,3.83,0,1.53
120,0,0,0,5.88,0,19.6,0,0,0,15.68,3.92,0,0,0,0,0,0,0,0,21.56,0,5.88,52.91,1.96,0,1.96,0,0,7.84,0,0,0,0,1.96,0,0,3.92,0,0
