stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,115,0,4,0,0,0,0,0,0,0,1,0,0,0,33,3,1,6,9,0,1,7,2,265,0,0,0
 24-34,0,0,2.46,0,2.46,0,0,133.8,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0.82,57.46,0,5.75,10.67,0,0.82,0,15.6,0,238.87,0,1.64,0
 36-46,0,0,0.81,0,1.61,0.81,0.81,87.82,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,41.89,0,7.25,4.03,0,0,0,7.25,0,137.77,0,0,0
 48-58,0,0,0.57,0,2.3,0,0.57,83.78,0,0,0,0,0,0,1.15,0.57,0,1.15,0,0,1.15,30.41,0,8.03,6.89,0,0,0,4.02,0,136.57,0,0,0.57
 60-70,0,0,0,0.98,2.94,0,0,72.63,0.98,0,0,0,0,0,3.93,0,0,0.98,0.98,0,0,18.65,0.98,6.87,12.76,0,0,0,2.94,0,73.61,0,0,0
 72-82,0,0,0.98,0,9.82,0,0,102.09,0,0,0.98,0,0,0,6.87,0,0,1.96,0,0.98,0,27.49,0,9.82,32.39,0,0.98,0,0.98,0,62.83,0.98,0,0
 84-94,0,1.06,1.06,0,15.93,0,0,82.84,0,0,0,0,0,0,6.37,0,0,5.31,0,0,0,24.43,0,23.36,47.79,0,0,0,6.37,0,65.85,0,0,0
 96-106,0,4.37,2.19,0,12.02,0,0,69.94,0,0,0,0,0,1.09,13.11,1.09,1.09,4.37,0,0,0,12.02,0,16.39,56.83,0,2.19,0,9.84,0,63.39,0,0,0
108-118,0,3.83,3.06,0,6.13,0.77,0,49.79,0,0,0,0.77,0,0,9.96,0,0,0.77,0,0,0.77,14.55,0,19.15,36.77,0,0,0,9.96,0,55.15,0,0,0
120,0,1.96,0,0,1.96,0,0,33.32,0,0,0,0,1.96,0,15.68,1.96,0,0,0,0,0,19.6,0,15.68,39.2,0,0,0,7.84,0,33.32,0,1.96,0
