stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,7.89,0,0,0,0,0,57.83,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,6.29,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,1,0,0,8,0,0,0,1,0,3,4
 24-34,0,0,0,7.39,0,0,0,0,0,0,0,20.52,0,0,0.82,0,0,0,7.39
 36-46,0,0,0,5.64,0,0,0,0,0,0,0.81,5.64,0,0,0,0,0,0,3.22
 48-58,0,0,0.57,8.61,0.57,0,0,0.57,2.3,0.57,0.57,6.89,0,0,0,0,0,0,2.3
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0.98,2.94,0.98,0,0,0,2.94,0,0.98,2.94,0,0,0.98,0,0,0,1.96
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,0,0.77,0,0,3.06,0.77,0,0,0,0,0,0
120,0,0,1.96,5.88,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
