stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,19,0,1,1,1,3,4,0,0
 24-34,0,0,0,1.64,0,0,1.64,0,0.82,0,0,0.82,2.46,0,2.46,36.12,0.82,0,0,4.1,0.82,9.03,0,0.82
 36-46,0,1.61,0,3.22,0,0,1.61,0,0,0,0,0,4.03,0,1.61,24.98,0,0,0,0,0,6.45,0,0
 48-58,0,1.15,1.72,12.62,0,0,3.44,0,0,0,0,0,5.74,0,0,23.53,0,0.57,0,0.57,0,5.74,0,0
 60-70,0,2.94,0,11.78,0.98,0,4.91,0,0,0,0.98,0.98,4.91,0,0,24.54,0,0,0,0,0,3.93,0,0
 72-82,0,0,9.82,15.71,0,0.98,3.93,0,0,0,0,0,10.8,0,1.96,34.36,0,0.98,0,0,0,1.96,0,0
 84-94,1.06,0,1.06,4.25,0,0,3.19,0,0,1.06,0,0,0,1.06,0,20.18,0,1.06,0,0,0,0,0,0
 96-106,0,0,4.37,6.56,0,0,4.37,0,0,0,0,0,2.19,0,1.09,14.21,0,0,0,3.28,0,0,0,0
108-118,0,0.77,1.53,5.36,0.77,0,3.83,0.77,0,0.77,0,0,1.53,0,0.77,9.19,0,0,0,0,0,0,0,0
120,0,0,7.84,3.92,0,0,5.88,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,1.96,0
