stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,23.66,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,34.62,0,0,0,18.88,0,0,0,0,0,0
 14-21,1,0,2,13,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0
 24-34,0,0,1.64,2.46,0.82,0,0,0,0.82,0,0.82,0,0,0,0.82,0,5.75,0,0,0,2.46,0,0.82,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,4.03,0,4.03,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,1.15,0.57,0.57,0.57,1.72,0,0.57,0,0,0,1.72,0,0.57,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,2.94,0,0,0,5.89,0,2.94,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,4.91,1.96,0,0,1.96,0,3.93,0,0,0,3.93,0,2.94,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,2.12,0,0,0,2.12,0,3.19,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,4.37,0,0,0,1.09,0,3.28,0,0,0,8.74,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,2.3,0.77,0.77,0,0,0,0.77,0,4.6,0,0,0,2.3,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,17.64,0,0,0,0
