stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,6,2,7,2,4,0,0,0,3,0,0,0,0,1,0,1,0,3,0,0,0,15,0,0,0,1,0,3,0,2,0,1,44,0,0,0,0,0
 24-34,4.93,1.64,10.67,0.82,4.93,0,0,0,4.1,0,0,0,0,3.28,0,0,0,2.46,3.28,0,0.82,67.31,0.82,0,11.49,0,0,22.16,0,0,0,0,73.88,0,0,0,0,0.82
 36-46,5.64,0,4.83,0,12.09,0,1.61,0,3.22,0,0,0,0,0.81,0,0,0,10.47,9.67,0,0,91.04,0,1.61,12.89,0,0,18.53,0,0,0,0,78.15,0,0,0,0,0.81
 48-58,3.44,0,5.74,0,72.87,0,0,0,5.16,0,0,0,0,1.15,0,2.87,0,11.48,10.9,0.57,0.57,79.19,0,0,20.66,0,0,12.05,0,0,0,0,89.51,0,0,0,0,0
 60-70,2.94,0,12.76,0,316.05,0,1.96,1.96,23.56,0.98,0,0,0.98,0.98,0,4.91,0.98,22.58,10.8,1.96,0,84.41,0,2.94,19.63,0,0,8.83,0,0,0,0,53,0.98,0,0,0,0
 72-82,9.82,0,9.82,0,401.5,0.98,1.96,3.93,57.92,2.94,0,0.98,1.96,0.98,0.98,5.89,0,43.19,14.72,0,3.93,116.82,0,0.98,44.17,0,0,4.91,0,0,0.98,0,19.63,0,0.98,2.94,0.98,0.98
 84-94,14.87,0,20.18,2.12,186.92,0,1.06,3.19,29.74,6.37,2.12,0,0,0,1.06,5.31,0,29.74,13.81,2.12,0,67.97,0,8.5,55.23,0,0,20.18,0,0,0,0,14.87,2.12,2.12,0,0,0
 96-106,18.58,0,24.04,0,189.06,1.09,0,2.19,33.88,7.65,0,0,2.19,0,2.19,8.74,1.09,20.76,27.32,1.09,0,65.57,0,10.93,63.39,0,2.19,12.02,1.09,0,0,0,7.65,6.56,1.09,4.37,1.09,2.19
108-118,4.6,0,23.74,0,110.3,0,2.3,3.06,21.45,6.13,0,0,0.77,1.53,3.83,3.06,0,26.81,7.66,0,2.3,65.11,0.77,8.43,53.62,0,0.77,9.96,0,0,0.77,0,1.53,8.43,1.53,0,0,0.77
120,5.88,0,27.44,0,74.47,0,1.96,0,21.56,5.88,0,0,1.96,0,0,1.96,0,37.24,1.96,0,3.92,58.79,0,7.84,35.28,0,0,19.6,0,0,0,0,1.96,0,1.96,1.96,1.96,0
