stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,39.43,0,0,26.29,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,53.5,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,4,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,22.16,0,0,0,0,0,0,0,4.1,0.82,0,0
 36-46,0,0,0,0,0,0,0,11.28,0,0,2.42,0,0,0,0,0.81,0.81,81.37,0,0,0,0,0,0,0,14.5,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,22.95,0,0,1.72,0,0.57,0,0,0.57,0,50.49,0,0,0,0,0,0,0,10.33,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,62.82,0,0,4.91,0,0,0,0.98,1.96,0,92.26,0,0,0,0.98,0,0,0,14.72,0,0,0
 72-82,0,0,0,0,0.98,5.89,0,45.16,0,0,8.83,0,0,0,0,0.98,0,66.75,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,9.56,0,32.92,1.06,1.06,5.31,0,0,0,5.31,0,0,33.99,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,6.56,1.09,17.49,1.09,0,4.37,0,0,0,1.09,0,0,38.25,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,4.6,0,11.49,0,0,1.53,0,0,0.77,5.36,2.3,0.77,37.53,0,0,0,0,0,0,0,2.3,0,0,0
120,0,0,1.96,0,1.96,5.88,0,7.84,0,0,1.96,0,0,0,0,0,0,31.36,1.96,1.96,0,0,0,0,0,0,0,0,0
