stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,taste,vasculature
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,7.39,0,0,0,0.82,0,0
 36-46,2.42,0,0,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0.81,0,10.47,0,0,0,1.61,0,0
 48-58,0,0,2.3,0,0,0,1.72,0,0,0,3.44,0,0,0,1.15,0.57,7.46,0,1.15,0,1.72,0,0
 60-70,0.98,0,3.93,0,0,0,0.98,0,0,0,3.93,0,0,0,0.98,0.98,6.87,0,0,0.98,2.94,0,0
 72-82,1.96,0,6.87,0,0,0.98,2.94,0,0,0,4.91,0,0,0,1.96,0.98,4.91,0,0,0,3.93,0,0.98
 84-94,0,0,1.06,0,0,0,0,1.06,0,1.06,13.81,1.06,0,0,1.06,0,5.31,0,0,0,0,1.06,0
 96-106,3.28,1.09,1.09,1.09,2.19,0,1.09,0,0,0,19.67,0,0,0,0,0,3.28,0,1.09,1.09,0,0,1.09
108-118,1.53,0,2.3,0,0,0,0,0,0.77,0.77,27.57,0,0,0,0,0,6.89,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,3.92,0,1.96,0,1.96,0,1.96,0,0,1.96,1.96,0,0
