stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,49.95,0,26.29,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,15.73,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,3,0,3,1,0,0,0,4,0,0,1,0
 24-34,0,0,0,0,0,0,0,1.64,0,14.78,0,1.64,1.64,0.82,0,0,0,0,0.82,2.46,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,6.45,0,0.81,0.81,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,1.15,0.57,2.87,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,5.89,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,2.12,3.19,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,0,4.37,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,3.92,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
