stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,12.59,0,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0,14,5,2,0,0,0,7,0,101,751,6,0,0,0,0
 24-34,0,2.46,0,1.64,4.93,2.46,0.82,0,0,0,24.63,0,62.39,43.51,0,0,0,0,0,0.82,27.91,382.52,10.67,0,0,0,0
 36-46,0,0,0,1.61,12.89,6.45,0.81,0,0,0,56.4,0,58.01,23.36,0,0,0.81,0.81,0,0,14.5,24.17,2.42,0,0,0,0
 48-58,0,0.57,0,1.72,10.33,1.15,1.15,0,0,0,33.85,0,76.32,18.94,0,0.57,0,0,0,0,9.18,0,0.57,0,0.57,0,0
 60-70,0,0,0.98,0.98,27.48,2.94,1.96,0,0.98,0,60.85,0,79.5,13.74,0,0,0.98,0,0.98,0.98,7.85,0,0.98,0,0,0,0
 72-82,0,0.98,0,2.94,18.65,2.94,1.96,0,0.98,0.98,98.17,0,107.98,13.74,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0
 84-94,0,2.12,0,11.68,12.74,0,2.12,0,1.06,0,50.98,0,99.83,14.87,0,1.06,0,0,0,2.12,11.68,0,3.19,0,1.06,0,1.06
 96-106,0,1.09,1.09,8.74,13.11,2.19,0,0,0,0,56.83,0,99.45,15.3,0,2.19,0,1.09,0,1.09,9.84,0,0,1.09,1.09,1.09,0
108-118,0,2.3,0,8.43,13.79,0,3.06,0,0,0.77,40.6,1.53,96.51,16.85,0,0,0,0,0,0.77,6.89,0,0,0,0,0,0
120,0,3.92,0,9.8,15.68,1.96,0,0,1.96,0,39.2,0,103.87,21.56,0,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0
