stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,4.1,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,16.11,0,0,0,0,4.83,0,1.61,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,25.82,0,0,0,2.3,6.31,0.57,0.57,0,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,3.93,0.98,0,0.98,0,0,38.28,0,0,0,2.94,7.85,0,3.93,0.98,0,4.91,0.98,0,7.85,0.98,6.87,0
 72-82,0,0,35.34,7.85,0,1.96,0.98,0,70.68,0,0,0.98,9.82,23.56,0,5.89,0,1.96,4.91,0,0.98,11.78,0.98,16.69,0
 84-94,2.12,0,19.12,1.06,0,2.12,0,0,105.14,0,0,0,5.31,23.36,1.06,1.06,0,0,1.06,0,2.12,9.56,1.06,22.3,0
 96-106,0,1.09,19.67,6.56,0,3.28,2.19,0,99.45,1.09,0,0,13.11,14.21,0,3.28,0,1.09,14.21,1.09,0,8.74,6.56,26.23,1.09
108-118,0,0,7.66,0.77,0,0.77,2.3,0.77,84.26,0,0.77,0.77,9.19,12.26,2.3,3.83,0,0,14.55,0,0.77,4.6,3.83,22.21,0.77
120,0,5.88,11.76,0,1.96,1.96,11.76,1.96,225.38,0,0,0,15.68,31.36,0,1.96,0,0,5.88,0,1.96,9.8,7.84,19.6,1.96
