stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,10,0,0,2,0,4,1,0,0,0,3,5,23,0,0,0
 24-34,0,1.64,0,0,1.64,25.45,0,4.1,2.46,0.82,4.93,11.49,0,0,0.82,0,1.64,27.91,0,0,0
 36-46,0,1.61,0,0,0,4.03,0,12.89,1.61,0.81,2.42,3.22,0.81,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,0,44.18,5.16,2.87,1.15,5.16,0,0.57,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,1.96,0,0,64.78,0.98,0,3.93,6.87,0,2.94,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,2.94,1.96,0,110.93,5.89,0,5.89,3.93,0,6.87,0.98,0,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,122.13,1.06,0,0,3.19,0,7.43,1.06,0,0,0,0,0,1.06
 96-106,0,1.09,0,1.09,3.28,3.28,1.09,156.28,7.65,1.09,1.09,4.37,0,7.65,1.09,0,0,1.09,0,4.37,0
108-118,0,0,0,0,2.3,1.53,0,114.89,2.3,0,2.3,0,0,6.13,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,219.5,3.92,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0
