stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0.82,0,7.39,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,1.72,0,0,0,0,0.57,0.57,0,2.87,0,56.81,1.72,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,8.83,0,0,0
 72-82,0,0,0.98,0,0,0,0,2.94,0,0,0,0.98,0,17.67,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,0,0,14.87,0,0,0
 96-106,0,2.19,0,0,2.19,4.37,0,0,2.19,0,0,1.09,0,42.62,1.09,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0
120,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0
