stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,28.92,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,12.59,0,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,20,1,0,0,0,0,0,9,0,2,41,4,0,0,6,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0.82,0,0,3.28,46.79,0.82,0,0,0,0,0.82,0,0,0,12.31,4.93,0,0,4.1,0,0
 36-46,0,0,0,0.81,0,4.03,0.81,0,0.81,23.36,0.81,0,0,0,0,0,0,0,2.42,0,0,4.03,133.74,0,3.22,0,0,0,2.42,0,0,0,0.81,10.47,0,0,3.22,0,4.03
 48-58,0,0,0,1.15,0.57,24.1,0.57,0,0,52.79,0,0,0,0,0,0.57,0,0,4.59,0,0.57,2.87,210.59,0,4.02,0.57,0,0,5.16,0,0,0,0,23.53,0,0,0.57,0,2.87
 60-70,0,0,0,0.98,0,190.42,0,0.98,0.98,91.28,0,1.96,0,0,0,0,0,0,8.83,0,0,0.98,506.47,0,3.93,0.98,0,0,7.85,0,0.98,0,0,15.7,0,0,1.96,0,0.98
 72-82,0,0,0,9.82,1.96,681.27,0,0.98,0.98,165.9,0.98,0.98,0.98,0.98,0.98,0.98,0,0.98,33.38,0,0,0.98,631.21,0,3.93,0,0,0,4.91,0,0,0,0,17.67,0.98,0,0.98,0,1.96
 84-94,0,0,0,13.81,1.06,354.72,0,1.06,1.06,93.46,0,2.12,3.19,2.12,0,0,0,0,12.74,0,0,4.25,321.8,0,5.31,2.12,0,0,12.74,0,0,0,0,18.05,0,2.12,1.06,0,1.06
 96-106,0,0,0,13.11,5.46,521.29,0,0,1.09,126.77,3.28,6.56,1.09,0,2.19,1.09,0,0,30.6,1.09,0,3.28,306,1.09,7.65,4.37,0,1.09,16.39,0,0,0,0,5.46,0,0,3.28,1.09,1.09
108-118,0,0,0,19.92,2.3,387.58,0,0,0,102.64,0.77,1.53,0.77,1.53,0,0,1.53,0,32.17,0,0.77,3.06,418.22,0.77,5.36,1.53,0,3.06,3.06,0,0.77,0,0,9.19,0,0.77,3.06,1.53,0.77
120,0,0,0,11.76,3.92,282.21,0,1.96,0,96.03,1.96,0,1.96,1.96,0,0,1.96,0,21.56,0,0,1.96,413.51,0,5.88,3.92,0,0,7.84,0,1.96,0,0,13.72,0,0,1.96,0,0
