stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,15,5,0,0,0,0,0,5,0,0,0,6,0,0,9,0,0,0,0,0,1,0,0,0
 24-34,14.78,0,0,0,0,0,0,0.82,0,0,0,9.03,0.82,0,4.93,0,0,0,0.82,0,0.82,0,0,0
 36-46,3.22,0,0,0,0,0,0,0.81,0,0,0,10.47,0,0,8.86,1.61,0,0,1.61,0,2.42,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,3.44,0,0,0,8.03,0.57,0,4.59,0,0.57,0,1.15,0,4.02,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,8.83,0,0,1.96,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,6.87,0,1.96,2.94,0,0,0.98,43.19,0.98,0,3.93,0,0,0,0,0,0,0.98,0,0
 84-94,2.12,2.12,0,2.12,2.12,0,0,3.19,1.06,1.06,0,185.86,0,0,7.43,0,0,0,1.06,1.06,0,0,0,0
 96-106,3.28,2.19,2.19,4.37,4.37,0,3.28,2.19,1.09,0,0,492.87,1.09,0,57.92,0,0,0,4.37,0,1.09,0,1.09,0
108-118,1.53,1.53,0,6.13,4.6,0,5.36,0.77,0,0,0,1082.31,3.83,0,38.3,0,0,0,3.83,0,0,0,0.77,0.77
120,0,0,0,3.92,1.96,0,1.96,1.96,0,0,0,546.78,5.88,1.96,23.52,0,0,0,1.96,0,0,0,0,0
