stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,10.51,0,47.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,9.44,0,0,12.59,0,22.03,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,2,10,10,0,0,3,0,685,2,0,3,8,5,0,0,1,0,0
 24-34,0,0,0.82,15.6,0,0,10.67,0,3.28,1.64,0.82,0,0,0,0,15.6,0,0,0,0,6.57,13.95,0,6.57,86.19,3.28,0.82,0,0,0,1230.46,0,0,3.28,4.93,13.13,0,0,2.46,0,0.82
 36-46,0,0,0,8.06,0,0,15.31,0.81,11.28,0,1.61,0,3.22,0,0,4.03,0,0,0,0.81,5.64,15.31,0,0,70.9,0.81,3.22,0,0,0,1521.91,0,0.81,2.42,0,16.92,0,0,0.81,0,1.61
 48-58,0,0,0,10.33,1.15,0,29.84,0.57,17.79,0.57,6.31,1.15,1.15,0,1.15,2.87,0,0.57,0.57,1.72,7.46,13.2,0,2.3,65.99,0,0.57,1.15,0,0,1248.03,0,0,0,0,14.35,0,0,1.72,0,1.15
 60-70,0,0,0,23.56,0,0,35.33,0,14.72,0,6.87,0,0.98,0.98,0,6.87,0,0,0,0,5.89,16.69,0,2.94,55.95,0.98,0.98,0.98,0,0.98,1197.46,0,0,0,0,1.96,0.98,0,0,0,0
 72-82,0,0.98,0,61.84,0.98,0,19.63,0,28.47,0.98,1.96,0,0.98,0,0,20.61,0,0.98,0,0,6.87,27.49,0.98,0,35.34,0,0,0.98,0,0,1111.24,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,139.13,1.06,0,15.93,0,105.14,1.06,6.37,3.19,2.12,0,0,56.29,0,0,0,0,9.56,41.42,0,0,31.86,0,1.06,0,0,0,3255.14,0,0,0,0,0,5.31,0,2.12,0,1.06
 96-106,0,0,0,257.91,5.46,3.28,30.6,0,128.96,0,10.93,24.04,0,1.09,3.28,81.96,1.09,1.09,1.09,0,26.23,64.48,3.28,2.19,61.2,0,2.19,0,0,1.09,3196.58,0,2.19,2.19,0,3.28,7.65,1.09,1.09,3.28,1.09
108-118,0,0.77,0,232.09,5.36,0.77,16.09,0,241.28,1.53,7.66,27.57,0,0.77,1.53,108.77,0,0,3.06,0,23.74,76.6,1.53,3.83,62.04,0,1.53,1.53,0,0,3636.79,0,0,0,0,1.53,11.49,0.77,2.3,2.3,0
120,0,0,0,203.82,3.92,0,13.72,0,146.98,0,1.96,9.8,0,0,0,50.95,1.96,0,1.96,0,13.72,39.2,5.88,1.96,47.03,1.96,1.96,0,0,0,1987.22,0,0,0,0,0,3.92,0,0,1.96,0
