stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,3,15,2,0,0,0,0,1
 24-34,0,0,0.82,9.03,0.82,0,5.75,0,2.46,0.82,0,0,0,0.82,0.82,0,0,0,1.64,1.64,9.03,0,0,4.93,41.86,0,2.46,0.82,0,19.7,0,0,0.82,0.82,2.46,4.1,0,0,0.82,0,3.28
 36-46,0,0,0.81,5.64,0.81,0,14.5,0,0,0,5.64,0,0,0,2.42,1.61,0,0,0,0.81,7.25,0,0,1.61,44.31,0,0.81,0.81,0,14.5,0,0,0,0,0,8.86,0,0,2.42,0,3.22
 48-58,0,0,0,6.31,0.57,0,43.61,0.57,2.3,0.57,15.49,0,0,1.15,2.3,0.57,1.15,1.15,0.57,0.57,21.8,3.44,0.57,4.59,55.66,1.15,1.15,1.15,0,6.31,0.57,0,0.57,0,0,16.07,0,0,1.72,0,4.02
 60-70,0,0,0,4.91,0,0,76.56,0,1.96,0,29.45,0,1.96,0.98,1.96,0.98,2.94,0,0.98,0,29.45,1.96,0,1.96,56.93,1.96,3.93,2.94,0,16.69,0,0,1.96,0,0,16.69,0,0,1.96,0,1.96
 72-82,0,0,1.96,14.72,4.91,0,107.98,0,3.93,4.91,43.19,5.89,0,1.96,5.89,0.98,0.98,0.98,5.89,0,93.26,0.98,2.94,4.91,67.73,0,5.89,4.91,0.98,12.76,0,0,1.96,0,0,9.82,2.94,3.93,7.85,1.96,3.93
 84-94,0,0,1.06,16.99,5.31,0,58.41,1.06,4.25,3.19,26.55,7.43,0,0,10.62,4.25,4.25,1.06,3.19,4.25,59.47,0,1.06,6.37,40.36,1.06,3.19,3.19,0,31.86,0,0,0,0,0,3.19,3.19,0,6.37,3.19,2.12
 96-106,0,0,2.19,21.86,7.65,1.09,33.88,1.09,4.37,2.19,50.27,12.02,0,1.09,12.02,5.46,2.19,2.19,2.19,2.19,60.11,1.09,3.28,9.84,50.27,2.19,6.56,2.19,2.19,27.32,0,0,2.19,0,0,2.19,3.28,1.09,8.74,2.19,1.09
108-118,0,0,0.77,26.81,6.13,0,41.36,0.77,3.83,0.77,42.13,12.26,0,1.53,9.96,5.36,4.6,0.77,5.36,1.53,65.87,1.53,3.83,9.96,49.02,0.77,3.83,7.66,2.3,16.85,0,0,0,0,0,5.36,6.89,0.77,9.96,0.77,4.6
120,0,0,0,13.72,1.96,0,25.48,0,7.84,1.96,27.44,7.84,0,0,7.84,0,0,3.92,3.92,0,43.12,0,3.92,9.8,52.91,1.96,1.96,7.84,0,31.36,1.96,0,1.96,0,0,0,7.84,1.96,11.76,5.88,1.96
