stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2
 24-34,0,0,0,0.82,0,0,8.21,0,0,0,1.64,2.46,0.82,0,0,0.82,0.82,0,0,0,23.8,0,1.64,0,0,4.1,0,0,1.64,0,0.82,2.46
 36-46,0,0,0,0.81,0,0,4.83,0,0,0,4.03,4.03,0,0,0,4.83,1.61,1.61,0,0,38.67,0,2.42,0,0,0,0,0,2.42,0,0,1.61
 48-58,0,0,0,2.87,0,0,4.59,0,2.87,0,3.44,5.74,0,0,0,7.46,1.15,3.44,0,0,40.17,0.57,2.87,0.57,0,0,0,0,2.3,0,0,1.72
 60-70,0,0,0.98,4.91,0,0,9.82,0,0,0,8.83,17.67,0,0,0,1.96,0.98,2.94,0,0,54.97,0,1.96,0,0,0,0,0,1.96,0,0,1.96
 72-82,0,0,0,3.93,0,0,25.52,0,0.98,2.94,10.8,53.01,0,0,0,3.93,4.91,3.93,0,0,78.53,0,2.94,0.98,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,22.3,0,0,15.93,0,2.12,8.5,15.93,84.96,0,0,1.06,5.31,5.31,2.12,0,0,52.04,0,5.31,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,0,41.53,1.09,0,18.58,0,4.37,110.38,20.76,157.37,0,0,1.09,5.46,4.37,8.74,0,1.09,65.57,0,6.56,1.09,0,2.19,0,0,1.09,0,0,2.19
108-118,0,0,0.77,42.13,0.77,0,19.92,0.77,4.6,185.36,13.02,141.7,0,1.53,0.77,6.89,4.6,5.36,0.77,1.53,98.04,0,3.06,0.77,0,3.06,0.77,0,1.53,1.53,3.06,0.77
120,0,0,0,45.08,0,1.96,9.8,0,7.84,90.15,11.76,72.51,0,1.96,1.96,1.96,7.84,5.88,0,0,94.07,0,3.92,0,0,3.92,0,0,5.88,0,1.96,0
