stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,3,2
 24-34,0,0,0,0,1.64,0,0,1.64,1.64,0.82,0,0,2.46
 36-46,0,0,0,0.81,0,0,0,1.61,2.42,0,0.81,2.42,3.22
 48-58,0,0.57,0,0,0,0.57,0,4.59,2.3,0,0,0,1.72
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0,0,0.98,1.96,2.94,1.96,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,0,5.46,5.46,0,0,1.09
108-118,0,0,0,0.77,0.77,0,0,0,0.77,2.3,0,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
