stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,iridophores,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,1.09,1.09,0,1.09,0,0
