stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,xanthophores
 14-21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,9.85,0,1.64,0,0.82,0,0.82,0,0,0,0,2.46,0,1.64,0.82,0,0,0
 36-46,6.45,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,4.02,2.87,2.3,0,0,0,0,0,0,0.57,0,2.3,0,1.15,0.57,0,0,0
 60-70,10.8,2.94,8.83,0,0.98,0,0,0,0,0.98,0,0.98,0,1.96,2.94,0,0,0
 72-82,3.93,12.76,3.93,0,0,0,0,0.98,0,0,0.98,5.89,1.96,4.91,0,0.98,0.98,0
 84-94,38.23,9.56,11.68,0,1.06,0,0,2.12,0,1.06,0,1.06,0,18.05,0,2.12,0,1.06
 96-106,19.67,10.93,8.74,0,0,0,0,1.09,0,2.19,0,2.19,1.09,8.74,0,0,0,0
108-118,34.47,2.3,20.68,0.77,0,3.83,0,0.77,0.77,0,0.77,3.06,0.77,14.55,0,2.3,0,0
120,39.2,3.92,11.76,0,1.96,0,0,0,1.96,0,1.96,7.84,1.96,1.96,0,0,0,0
