stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,23.66,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,10.51,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,3.15,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,0,0,0,12.59,0,28.32,9.44,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,1,0,0,0,0,0,5,0,0,0,4,0,0,0,0,6,1,0,4,5,0,0,0,0,0,150,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0,0.82,21.34,0.82,0,6.57,4.1,0,0,4.93,0,0.82,0,22.16,0,1.64,0,0,9.03,6.57,0,2.46,26.27,0,2.46,0.82,0,0,311.1,0,0.82,0,0,4.1,0,0,1.64,0,0
 36-46,0,0,0,0,21.75,0,0,4.03,2.42,0,0.81,0.81,0,1.61,0,4.03,0,0,0,0.81,3.22,3.22,0,0.81,26.59,2.42,4.03,3.22,0,0,270.7,0,0.81,0,0,4.03,0,0,1.61,0,0
 48-58,0.57,0,0,0,11.48,0,0,12.62,1.15,0,0.57,0,0,0,0,2.3,0,0,0,0.57,5.16,4.59,0,0,30.99,0.57,3.44,2.3,0,0,145.17,0,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0,0,28.46,0,0,15.7,5.89,0,1.96,0.98,0,0.98,2.94,0.98,0,1.96,0,0,1.96,1.96,0,0,16.69,0,0,0,0,0,134.47,0,0,0,0,5.89,0,0.98,0.98,0,0
 72-82,0,0,0,0,23.56,0,0,11.78,0.98,0,0.98,0.98,0,1.96,0,5.89,0,0.98,0,0,3.93,4.91,0.98,0,29.45,0,2.94,1.96,0,0,113.87,0,0,0,0,1.96,0.98,0.98,0.98,0,0
 84-94,0,0,1.06,0,39.3,1.06,1.06,1.06,5.31,1.06,1.06,1.06,0,2.12,2.12,7.43,0,1.06,0,0,4.25,5.31,1.06,0,11.68,1.06,6.37,3.19,0,1.06,309.05,0,2.12,0,0,2.12,5.31,0,1.06,0,0
 96-106,0,0,0,0,64.48,1.09,0,16.39,4.37,0,1.09,6.56,0,5.46,3.28,16.39,1.09,1.09,1.09,0,6.56,7.65,1.09,0,18.58,1.09,8.74,4.37,0,0,250.26,0,0,0,0,0,4.37,0,0,1.09,1.09
108-118,0,0,0.77,0.77,38.3,1.53,0.77,6.13,8.43,0,1.53,6.89,0,3.06,2.3,12.26,0,2.3,0,0,3.83,6.89,0,1.53,14.55,0,2.3,1.53,0,0,212.94,0,0,0,0,1.53,4.6,0,0.77,0,0
120,0,0,0,0,60.75,0,0,0,7.84,0,0,7.84,0,3.92,3.92,7.84,0,1.96,0,0,7.84,1.96,0,0,13.72,0,1.96,1.96,0,0,188.14,0,0,0,0,0,1.96,1.96,0,0,0
