stage,axial,blastomeres,exocrine.pancreas,eye,gut,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0.81,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,2.3,1.72,0,0,1.15,0,0
 60-70,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0,2.94,0.98,0,13.74,0,0,0
 84-94,0,0,0,3.19,1.06,0,0,0,0,0,2.12,0,1.06,14.87,0,1.06,1.06
 96-106,0,0,0,10.93,1.09,0,0,3.28,0,1.09,2.19,2.19,0,28.41,0,0,0
108-118,0,0,0.77,10.72,2.3,0.77,0.77,0.77,1.53,0,2.3,0.77,0,22.98,0.77,0,0
120,0,0,0,7.84,0,0,1.96,1.96,0,0,1.96,1.96,0,35.28,1.96,0,0
