stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,13.14,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,39.43,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,6.29,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,40.91,0,3.15,6.29,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,1,3,0,0,10,0,0,0,0,0,0,0,0,5,0,0,3,102,0,1,1,3,0,0,0,4,5,0,4,84,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,9.85,0,0.82,9.85,0,0,0,0,0,0,0,0.82,7.39,0,0,7.39,202.75,0,4.93,2.46,0,0,0,0,0.82,1.64,0,1.64,86.19,0,0,0.82,0,0
 36-46,0,0,0,3.22,0,20.95,0.81,0,15.31,0,0.81,0,0,0,1.61,0,0,20.14,0,0,3.22,250.56,0,12.89,2.42,0,0,0,0,0,0.81,0,0,77.34,0,0,1.61,0,1.61
 48-58,0,0,0,0.57,0,44.76,0,1.15,24.67,0,0,0,0.57,0,0.57,0,0,22.95,0,0,5.16,220.34,0.57,5.74,1.15,0,0,0,0,0,0,0,0,37.3,0,0,1.15,0,0
 60-70,0,0.98,0,0.98,0,149.19,0.98,0,34.35,0,0.98,0,1.96,0,0,0,0,52.02,0,0.98,0.98,382.79,0,6.87,1.96,0,0,0,0,0,0,0,0,63.8,0,0,1.96,0.98,0
 72-82,0,0.98,0,4.91,0.98,128.6,0,4.91,33.38,1.96,0,0,0,0.98,0.98,0,0,54.97,0,0,5.89,244.43,0,9.82,4.91,0,1.96,0.98,0,0,0,0.98,0,23.56,0.98,1.96,6.87,2.94,0
 84-94,0,0,0,3.19,0,109.39,2.12,4.25,22.3,1.06,0,0,1.06,0,1.06,0,1.06,33.99,0,2.12,3.19,144.44,3.19,11.68,7.43,0,0,2.12,0,0,0,0,0,15.93,0,1.06,4.25,2.12,1.06
 96-106,0,2.19,0,6.56,5.46,90.71,1.09,3.28,28.41,0,0,1.09,3.28,0,9.84,1.09,0,33.88,1.09,3.28,1.09,125.68,0,15.3,10.93,0,0,1.09,0,0,0,0,0,15.3,1.09,1.09,3.28,2.19,0
108-118,0,0.77,0,4.6,0.77,62.04,0.77,1.53,20.68,2.3,0,0.77,0,0.77,3.83,0,1.53,27.57,0,2.3,2.3,169.28,0,9.96,10.72,0,0.77,0.77,0,0,0,0,0,5.36,0.77,0,5.36,0.77,0.77
120,0,0,0,3.92,1.96,54.87,1.96,1.96,13.72,0,0,3.92,0,0,3.92,0,0,7.84,0,0,1.96,182.26,0,11.76,5.88,0,1.96,0,0,0,0,0,0,3.92,0,3.92,0,0,1.96
