stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,5,37,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,6.57,1.64,0,2.46,0,0,0,0,0,0.82,0,12.31,0,9.85,50.07,0,0,0.82,0,0,0,0,0,0,14.78,0,0,0.82,0,0
 36-46,0,0,0.81,2.42,0,0,13.7,0,0.81,3.22,0,0,0,0,0.81,0,0,15.31,0,7.25,41.89,0,0,1.61,0,0,0.81,0,0,0,13.7,0,0,0.81,0,0
 48-58,0,0,0,5.74,0,0,28.12,1.72,1.15,5.74,0,0,0,0,0,0,0,37.3,0.57,7.46,30.99,0,0,0.57,0,0,0,0,0,0,3.44,0,0,0.57,0,1.72
 60-70,0,0,0,3.93,0,0,35.33,0,0.98,9.82,0.98,0,0,0,0,0,0,42.21,0.98,5.89,23.56,0,0,0.98,0,0,0.98,0,0,0,4.91,0,0,0,0.98,0
 72-82,0,0,0,10.8,1.96,0,47.12,0.98,0.98,16.69,0,0.98,0.98,0,0,0,0.98,61.84,2.94,10.8,43.19,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0.98,2.94,0.98,0
 84-94,0,0,0,6.37,0,0,35.05,1.06,1.06,7.43,1.06,0,0,1.06,2.12,0,0,38.23,5.31,5.31,31.86,1.06,0,1.06,0,1.06,1.06,0,0,0,3.19,0,0,6.37,1.06,0
 96-106,0,0,0,4.37,0,0,36.06,0,0,12.02,4.37,0,0,0,0,0,1.09,40.44,1.09,5.46,14.21,0,6.56,0,0,0,2.19,0,0,0,0,1.09,1.09,2.19,1.09,0
108-118,0,0,0.77,7.66,0,0.77,32.17,0.77,0.77,10.72,0.77,0,1.53,0,1.53,0,0.77,40.6,1.53,5.36,32.94,0,1.53,0.77,0,1.53,2.3,0,0,0.77,0.77,0.77,0,3.83,0.77,0
120,0,0,0,3.92,0,0,23.52,1.96,0,13.72,0,1.96,3.92,0,0,0,0,37.24,1.96,9.8,29.4,0,0,1.96,0,0,1.96,0,0,0,1.96,0,1.96,1.96,0,0
