stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,1,4,1,0,0,0,0,0,1,1,4,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,4.1,0,0,1.64,0,0,0,0.82,0,0,2.46,0,0,1.64,29.55,0,0,0,0,0,1.64,0,0.82,8.21,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0.81,6.45,0,0,0,0,0,0,0,0,2.42,0,0,1.61,0
 48-58,0,0,0,0,0.57,0,0,13.2,0.57,0,1.15,0,0,0,0,0,0,6.31,0,0,1.15,16.64,0,1.15,0,0,0,1.72,0,0,2.87,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,14.72,0,0.98,2.94,0,0.98,0.98,0,0,0,10.8,0,1.96,0,18.65,0,0,0.98,0,0.98,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,15.71,0,0,1.96,0.98,0,0,0,0,0,16.69,0.98,0,1.96,15.71,0,0.98,0,0,0,0.98,0,0,1.96,0.98,0,1.96,0
 84-94,0,0,1.06,0,3.19,0,0,4.25,0,0,2.12,1.06,1.06,0,0,1.06,1.06,4.25,0,0,0,3.19,0,0,0,0,0,1.06,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,2.19,2.19,0,5.46,0,1.09,1.09,1.09,0,1.09,0,0,0,6.56,0,0,2.19,7.65,1.09,0,1.09,0,0,1.09,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,0.77,0,0,3.06,0,0,1.53,0,0,0.77,0.77,0,0,5.36,0,0.77,0.77,9.19,0,0,0.77,0,0,1.53,0,0,0,0,0,2.3,0
120,0,0,0,0,0,0,1.96,1.96,0,0,1.96,1.96,0,0,0,0,0,7.84,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
