stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,5.26,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,63,0,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0,1.64,0,0,0,0.82,1.64,0.82,18.06,1.64,0,261.03,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0.81,0,0.81,0,0,0,0.81,1.61,0,6.45,0.81,0,154.69,0,1.61,0,0,0
 48-58,0,0,3.44,0.57,0.57,0,0,0.57,0.57,0.57,2.3,0,0,0,0.57,0.57,0,7.46,0,0,75.17,0,3.44,0,0,0
 60-70,0,0,0.98,0,0.98,0.98,0,0,0.98,0,0,0,0.98,0.98,0,0,0,5.89,0,0,61.84,0,0,0,0,0
 72-82,0,1.96,5.89,0,3.93,0,0.98,0.98,7.85,0,0.98,0.98,0,0,0.98,0,0,6.87,1.96,0,71.66,0,0,0,0.98,0
 84-94,0,2.12,5.31,0,2.12,1.06,0,2.12,12.74,0,1.06,0,0,0,0,0,0,3.19,2.12,0,168.86,1.06,0,0,0,0
 96-106,0,3.28,12.02,2.19,2.19,0,0,0,10.93,1.09,1.09,0,0,0,1.09,3.28,0,3.28,2.19,0,122.4,2.19,1.09,0,0,1.09
108-118,0,1.53,13.02,0,0.77,3.83,0.77,0,12.26,0,2.3,0,0,0,1.53,0.77,0,4.6,2.3,0,75.83,0,0,0.77,0,0
120,0,0,9.8,0,0,0,0,0,29.4,1.96,3.92,0,1.96,0,0,0,0,5.88,1.96,0,72.51,0,0,0,0,0
