stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,237.2,2477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1556.93,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,15.77,0,49.95,0,0,0,78.86,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,659.81,36.8,0,0,257.61,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,34.62,0,6.29,0,66.09,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,582.19,53.5,0,0,236.02,0,3.15,0,0,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,1,60,9,0,20,0,0,0,13,2,1,4,0,0,0,0,0,0,25,0,22,231,39,1,2,4,0,2,0,34,2,3,23,163,0,0,4,0,1
 24-34,0,0,0,1.64,15.6,0,0,38.58,0,0.82,2.46,11.49,0,0.82,1.64,0,0,0,0.82,0,0,55,1.64,15.6,335.73,11.49,0.82,4.1,0,0,3.28,0,0,3.28,0,1.64,104.25,0,0,7.39,0,1.64
 36-46,0,0,0,0,8.86,0.81,0,66.87,0,0.81,2.42,13.7,0,0,0,0,0,0.81,0,0,2.42,60.43,0,8.86,210.28,9.67,0.81,2.42,0,1.61,0.81,0,0,0,0,0,66.87,0,0.81,5.64,0,1.61
 48-58,0,0,0,0,2.3,0.57,0,71.73,1.15,0,2.3,24.67,0,0,1.15,0,0,0,0,0,1.15,72.87,2.87,12.62,134.84,4.02,0.57,3.44,0,0,1.15,0,0,0,0,0,42.46,0,0.57,5.16,0,0.57
 60-70,0.98,0,0.98,0,10.8,0,0,91.28,0,1.96,0,27.48,0,0,1.96,4.91,0,0.98,1.96,1.96,0,94.23,2.94,9.82,156.06,0.98,0.98,0,0,0.98,1.96,0,0,0.98,0,0,24.54,0,1.96,3.93,0,0.98
 72-82,0,0,0,0,8.83,0.98,0,84.42,0.98,2.94,6.87,43.19,0,0,0.98,6.87,0,1.96,0,0.98,0.98,146.27,4.91,7.85,175.72,1.96,2.94,2.94,0,0.98,0,0,0,0,0,0,25.52,1.96,4.91,8.83,3.93,2.94
 84-94,0,0,0,0,10.62,0,0,65.85,0,3.19,3.19,26.55,1.06,0,0,12.74,0,2.12,1.06,6.37,3.19,91.34,5.31,6.37,87.09,2.12,0,3.19,0,0,5.31,0,0,1.06,0,0,14.87,0,2.12,4.25,3.19,0
 96-106,0,0,3.28,0,7.65,1.09,0,39.34,0,3.28,0,30.6,0,0,1.09,6.56,0,2.19,0,3.28,0,77.59,3.28,6.56,95.08,1.09,0,5.46,0,1.09,5.46,0,0,3.28,0,0,15.3,0,5.46,6.56,2.19,3.28
108-118,0,0,0,0,12.26,0,5.36,50.55,0,5.36,6.13,20.68,0.77,0,0.77,6.89,0.77,1.53,0.77,3.06,3.06,65.87,2.3,3.83,91.15,2.3,0.77,1.53,0,0,3.83,0,0,0.77,0.77,0,7.66,0.77,0.77,2.3,2.3,3.06
120,0,0,0,0,7.84,3.92,3.92,41.16,0,3.92,0,13.72,0,0,0,11.76,0,1.96,0,5.88,1.96,31.36,3.92,1.96,103.87,1.96,1.96,1.96,0,0,1.96,0,0,1.96,0,0,7.84,0,1.96,5.88,0,3.92
