stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,1,2,2,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,0,0.82,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,1.61,0,0,0,0.81,0,0,0.81,0,0,0,127.3,0,0,0,0,0,22.56,0,0,0,0
 48-58,0,1.72,0,8.61,0,0,1.15,0,0,0,0,0,0,1.72,0,0,0.57,216.9,0,0,0,0,0,36.72,0,0,1.15,0
 60-70,0,0,0,18.65,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,335.68,0,0,0,0,0,35.33,0,0,0,0
 72-82,0,4.91,1.96,25.52,0,0,9.82,0,0,0,0,0,0,2.94,0.98,0.98,0,275.85,0,0,0.98,0,0,31.41,0,0.98,0,0
 84-94,0,0,0,39.3,0,0,5.31,0,0,1.06,0,1.06,0,9.56,0,0,0,132.75,1.06,0,0,0,0,15.93,1.06,0,0,0
 96-106,0,1.09,0,18.58,0,1.09,6.56,0,0,0,0,0,0,3.28,0,0,0,90.71,0,0,0,0,0,3.28,0,0,0,1.09
108-118,0,0.77,0,13.79,0,0.77,3.06,0.77,0,0,0,0,0.77,2.3,0,0,0,144.77,0,0,0,0,0,9.96,0,0,0,0
120,0,0,0,23.52,1.96,1.96,5.88,0,0,0,0,0,0,3.92,0,0,1.96,184.22,0,0,0,0,0,5.88,0,0,1.96,0
