stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,2,1,0,0
 24-34,0,0.82,0,5.75,0,0,7.39,0,0,0.82,0,0,0,0,0,486.77,0.82,2.46,0,0,0,0,43.51,4.1,0,0
 36-46,0,1.61,0,46.73,0,0,115.21,0,0,0,0,0,3.22,0,0,1384.95,0,1.61,0.81,0,0.81,0,211.09,0.81,0,0
 48-58,0,0.57,1.15,95.25,0.57,0.57,229.52,0,0,0,0.57,0,2.87,0,0.57,726.44,0,0,1.15,0,0,0,268.54,2.87,0,0.57
 60-70,0,0.98,0,37.3,0.98,0,130.54,0,0.98,0,0,0.98,3.93,0.98,1.96,329.79,0,0,0,0,0,0,72.63,0.98,0,0
 72-82,0,3.93,0,52.03,0,0.98,124.67,0,0,0,0,0.98,3.93,0,0,240.51,0,2.94,0,0.98,0.98,0,21.6,0,0,0
 84-94,0,0,0,27.61,0,0,59.47,0,1.06,0,1.06,1.06,4.25,0,0,87.09,0,0,0,0,0,0,16.99,1.06,1.06,0
 96-106,0,1.09,0,16.39,1.09,0,43.71,0,0,0,0,0,5.46,1.09,0,77.59,0,1.09,1.09,0,1.09,1.09,8.74,2.19,1.09,0
108-118,0,0,0,13.02,0,0,29.87,0,0,0,0,0,2.3,0.77,0.77,91.92,0,0.77,0,0,0,0,3.06,2.3,0,0
120,0,0,0,11.76,0,0,41.16,1.96,0,0,0,0,3.92,0,0,90.15,0,0,1.96,0,0,0,0,1.96,0,0
