stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,355.8,6154.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,312.61,3665.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,12.26,0,0,30.65,55.17,0,0,0,0,0,0,0,0
  7-9,18.4,15.77,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.64,13.14,0,0,68.35,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,15.73,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,6,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8,0,0,2,0,0,2,1,0,17,4,7,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,2.46,0,0.82,0,0.82,0,0,0,5.75,0,0,0.82,0,0.82,0,0,0,0,2.46,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,0.81,3.22,0,0.81,1.61,0,1.61,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,1.72,0,0,0.57,0,0,0,1.15,0,0,0.57,2.3,0,0,2.3,0,1.72,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0,0,2.94,0,0,1.96,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,0.98,0,0,0.98,1.96,0,0,0,0,2.94,0,1.96,0,0,3.93,0.98,0,0,4.91,0,2.94,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,1.06,0,1.06,2.12,6.37,0,2.12,1.06,1.06,0,4.25,0,0,4.25,4.25,0,0,2.12,0,5.31,0,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,0,7.65,0,0,0,1.09,1.09,3.28,4.37,1.09,4.37,0,2.19,0,4.37,0,0,6.56,13.11,0,0,3.28,0,8.74,0,0,0,0,0,0,2.19,0
108-118,0,0,3.83,0.77,3.06,0,2.3,0,0,0,1.53,6.89,0,3.83,0,0.77,0,0.77,0.77,0,12.26,7.66,0,2.3,3.83,0,4.6,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,0,0,0,3.92,9.8,0,1.96,0,0,1.96,3.92,0,1.96,7.84,17.64,0,0,0,0,9.8,0,0,0,0,0,0,0,1.96
