stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,0,5.26,0,0,0,23.66,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,252.36,5.26,0,0,70.98,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,22.03,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,185.67,6.29,0,0,66.09,0,0,3.15,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,3,29,1,0,1,4,0,1,0,5,2,9,18,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,0,8.21,0.82,0,3.28,0.82,0,0,0,0,0,0.82,0,0,12.31,0,0,4.93,90.29,1.64,1.64,4.1,0,0,2.46,0,0,0,1.64,24.63,0,0,4.1,0,0
 36-46,0,0,0,0.81,0.81,0,0,24.17,0.81,0.81,4.83,0,0,0.81,0,0,0,0,0,0,13.7,0,0,2.42,101.51,0.81,0.81,1.61,0,0,0,0,0,1.61,0,30.62,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,29.26,0,0,5.16,0,0,0,0,0,0.57,0.57,0,0,16.64,0,0.57,1.72,63.69,0,0,0,0,0,1.15,0,0,0,0,12.05,0,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,0,52.02,0.98,0.98,12.76,0,0,0,0,0,0,0.98,1.96,0,14.72,0,0,1.96,98.15,0,1.96,0.98,0,0,0.98,0,0,0,0,13.74,0,0,0,0,0
 72-82,0,0,0,0,2.94,2.94,0,19.63,0,1.96,7.85,0.98,0,0,0,0,0,0,0,0,16.69,0,0,0.98,48.1,0,0,1.96,0,0,2.94,0,0,0,0,4.91,0,0.98,0,0.98,0.98
 84-94,0,0,0,0,4.25,2.12,1.06,15.93,0,1.06,5.31,1.06,0,0,1.06,0,0,0,0,0,9.56,1.06,0,2.12,25.49,0,0,0,0,0,3.19,0,0,0,0,3.19,0,0,1.06,0,2.12
 96-106,0,0,0,0,3.28,3.28,0,13.11,0,0,3.28,0,0,0,0,1.09,0,1.09,0,0,10.93,0,2.19,0,25.14,0,2.19,1.09,0,0,2.19,0,0,1.09,0,1.09,0,1.09,2.19,0,0
108-118,0,0,0,0,3.06,0,0,13.02,0.77,0,5.36,2.3,0,0,1.53,0,0,0.77,0,0.77,11.49,0,1.53,2.3,27.57,0,0.77,0,0,0,0,0,0,0,0,3.06,0.77,0.77,1.53,0,0.77
120,0,0,0,0,1.96,1.96,0,17.64,1.96,1.96,3.92,1.96,0,0,1.96,0,0,0,0,0,7.84,0,0,3.92,37.24,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,1.96,1.96,0
