stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,870.41,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,6.13,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,21.03,0,39.43,0,2.63,0,44.69,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,544.14,39.43,0,0,294.42,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,25.18,0,56.65,0,6.29,0,50.35,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,446.87,25.18,0,0,191.97,0,6.29,0,0,40.91,0,3.15,0,0,0,0,0
 14-21,0,0,2,2,49,15,0,1,0,1,0,2,0,0,1,3,14,0,0,0,0,27,0,0,18,35,2,1,1,6,0,0,0,53,4,3,22,20,0,3,0,0
 24-34,0,0,0.82,1.64,9.85,0.82,0,0,0,0,0.82,0,1.64,0,5.75,17.24,32.01,0,0,0,0,45.15,3.28,0,13.95,16.42,0,3.28,1.64,0,0,1.64,0,0,4.1,0,0.82,3.28,0,13.13,0,0
 36-46,0,0,0,0,4.83,0,0,1.61,0,0,4.03,0,0,0,4.03,53.98,8.06,0,0,0.81,0,52.37,0,4.83,11.28,16.11,0,0.81,0,0,0,0.81,0.81,0.81,4.03,0,0,0.81,0,7.25,0,0
 48-58,0,0,0.57,0,4.02,0,0,2.87,0,1.15,7.46,1.15,0,0,5.16,62.54,1.72,0,0.57,0.57,0.57,126.24,0.57,1.72,19.51,14.92,0,1.15,0.57,0,1.15,0,0,0,5.16,0,0,2.3,1.15,12.62,0,0
 60-70,0,0,1.96,0,2.94,0.98,0,13.74,0,0.98,9.82,1.96,9.82,0,4.91,87.36,1.96,0,0.98,0,0,297.4,0,4.91,13.74,13.74,0,0.98,0,0,2.94,0,0,0,7.85,0,0,2.94,0.98,25.52,2.94,0
 72-82,0,0,2.94,0,7.85,2.94,0,16.69,0.98,0,18.65,2.94,69.7,0,8.83,86.39,2.94,0,3.93,0,0.98,473.16,0,11.78,38.28,32.39,0,0,0.98,0,0.98,0.98,0,0,21.6,0,0,2.94,8.83,40.25,6.87,0
 84-94,0,0,2.12,0,10.62,1.06,2.12,23.36,0,1.06,19.12,4.25,128.51,0,14.87,140.19,8.5,0,2.12,1.06,0,269.76,2.12,7.43,16.99,13.81,1.06,2.12,1.06,0,3.19,1.06,0,0,40.36,0,0,2.12,5.31,44.61,5.31,1.06
 96-106,0,0,5.46,0,25.14,4.37,3.28,22.95,0,1.09,7.65,5.46,186.88,0,10.93,131.14,20.76,0,4.37,1.09,0,324.58,2.19,8.74,20.76,49.18,0,9.84,1.09,0,3.28,7.65,0,0,31.69,1.09,0,4.37,9.84,60.11,7.65,3.28
108-118,0,0,3.83,0,17.62,2.3,1.53,7.66,0,1.53,7.66,5.36,150.13,0,6.89,94.21,4.6,1.53,3.06,3.06,0,247.41,0,6.13,14.55,29.87,0,0.77,1.53,0,1.53,5.36,0.77,0,40.6,0,0,0.77,1.53,36,2.3,3.06
120,0,0,0,0,21.56,0,0,9.8,0,0,11.76,0,141.1,0,7.84,131.31,11.76,1.96,1.96,0,0,152.86,0,5.88,9.8,19.6,0,1.96,0,0,0,3.92,0,0,29.4,0,0,0,0,41.16,3.92,0
