stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,159.37,12.26,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,12.26,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0
  7-9,63.09,5.26,49.95,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,81.49,63.09,0,0,357.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,18.88,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,44.06,75.53,0,0,242.32,0,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,1,1,9,8,2,0,0,1,0,1,0,0,0,4,0,14,16,25,0,0,8,0,239,1,15,98,6,0,1,0,1
 24-34,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,0,0,0,2.46,0,2.46,12.31,0,0.82,0,0,0,0,0,0,1.64,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0.81,1.61,12.89,0.81,0,0.81,0,0.81,0,0,0,0,4.03,0,0.81,0,0.81
 48-58,0,0,0,0,0,0.57,0,0.57,1.15,0,0,1.15,0,0.57,1.72,0.57,0.57,2.87,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,7.85,1.96,0,2.94,0,0,0,0,2.94,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0,2.94,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,0,2.12,1.06,0,1.06,0,0,2.12,0,0,3.19,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,0,2.19,0,1.09,1.09,1.09,0,1.09,1.09,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,1.53,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0
