stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,10.51,0,0,0,0,0,131.44,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,18.88,0,3.15,0,12.59,0,0,0,0,0,270.64,0,0,0,0,0,0,0,0,0,0,188.82,9.44,0,0,53.5,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,117,7,0,7,0,0,0,1,0,67,1,1,0,0,0,0,88,0,0,118,106,0,1,1,1,0,1,8,1,2,40,48,0,0,1,0,0
 24-34,0,0,1.64,0.82,20.52,1.64,0,14.78,0,6.57,5.75,2.46,1.64,6.57,2.46,11.49,0,0,0,0.82,192.9,0,0,155.96,287.3,0,15.6,0.82,0,0,0.82,0,0,2.46,5.75,72.24,0,0,12.31,0,0
 36-46,0,0,0,0,8.06,0.81,0,56.4,0,6.45,13.7,4.03,0,0.81,3.22,26.59,0,0,0,0,250.56,0,1.61,100.71,663.87,1.61,24.17,1.61,0,0,1.61,0,0,0,0,133.74,0,0.81,4.03,0,0.81
 48-58,0,0,0,0,9.75,0,0,258.79,0,3.44,20.66,17.21,0,3.44,1.15,12.62,0,0,0,0.57,244.44,0,0.57,63.12,763.16,0,5.74,0.57,0,0,1.15,0,0,1.15,0,134.27,0,0,4.02,0,0
 60-70,0,0,0.98,0,6.87,0,0,681.18,0.98,11.78,12.76,18.65,0,0,1.96,47.11,0,0,0.98,0.98,359.24,0,2.94,35.33,875.52,0,11.78,2.94,0,0,0,0,0,0,0,131.52,0,2.94,2.94,0.98,2.94
 72-82,0,0,1.96,0,15.71,7.85,0,837.36,1.96,5.89,23.56,47.12,0.98,0,4.91,23.56,0,0.98,0.98,0,462.36,0.98,1.96,57.92,822.63,0,11.78,1.96,0,0.98,2.94,0,0,0,0,77.55,0,6.87,11.78,0.98,2.94
 84-94,0,0,0,0,19.12,7.43,1.06,535.27,2.12,10.62,16.99,46.73,0,4.25,5.31,61.6,2.12,1.06,0,0,328.17,0,4.25,29.74,460.92,1.06,5.31,2.12,0,0,4.25,0,0,1.06,0,29.74,0,4.25,5.31,5.31,1.06
 96-106,0,0,0,0,25.14,6.56,0,425.12,2.19,10.93,10.93,25.14,3.28,0,8.74,67.76,1.09,0,1.09,0,326.76,1.09,6.56,22.95,373.75,1.09,12.02,5.46,0,3.28,4.37,0,1.09,0,0,15.3,2.19,2.19,12.02,4.37,2.19
108-118,0,0,0.77,0.77,17.62,3.83,0,327.83,1.53,21.45,12.26,29.87,3.06,0,6.89,53.62,2.3,0.77,0.77,1.53,308.68,0.77,6.13,18.38,400.6,0,6.89,5.36,0,1.53,3.06,0,0,0.77,0,14.55,0.77,3.06,5.36,0.77,0
120,0,0,0,0,17.64,5.88,0,274.37,3.92,5.88,3.92,27.44,1.96,0,0,54.87,1.96,0,0,0,280.25,1.96,1.96,13.72,484.07,0,5.88,0,0,0,3.92,0,0,1.96,0,11.76,0,0,1.96,1.96,0
