stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,0,0,46,0,0,0,0,0,0,0,2,0,0,1,18,0,0,0,0,9,6,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,1.64,16.42,1.64,0,231.48,0.82,0,1.64,2.46,1.64,0.82,1.64,4.93,3.28,2.46,0.82,122.31,22.98,5.75,0,12.31,265.96,5.75,2.46,2.46,0,25.45,1.64,0,5.75,44.33,0,0,9.85,0,8.21
 36-46,0.81,0,4.83,2.42,0,196.58,4.03,0,0,7.25,0.81,0.81,0,1.61,2.42,0.81,0,183.69,25.78,8.86,0.81,10.47,225.59,0,1.61,1.61,0,15.31,1.61,0.81,1.61,65.26,0,0,8.06,0,5.64
 48-58,0,0,7.46,1.72,0,305.84,1.15,0.57,2.3,28.12,0,1.15,0,0,5.74,0,0.57,140.01,57.38,3.44,0.57,15.49,316.74,2.3,3.44,0.57,0,14.92,2.3,1.15,0,72.3,0,0.57,7.46,0,5.16
 60-70,0,0,11.78,0.98,0,339.61,2.94,3.93,0.98,28.46,0.98,0,3.93,0,2.94,0.98,1.96,100.12,61.84,4.91,2.94,6.87,312.12,2.94,1.96,1.96,1.96,19.63,0.98,3.93,0,32.39,0,0,7.85,1.96,7.85
 72-82,0,0,11.78,10.8,0,281.74,0.98,5.89,6.87,34.36,0,0,3.93,0.98,0.98,1.96,2.94,83.44,68.72,1.96,4.91,3.93,222.84,0,5.89,1.96,0.98,16.69,3.93,0,0,19.63,2.94,0.98,9.82,2.94,11.78
 84-94,0,0,15.93,21.24,0,361.09,1.06,6.37,1.06,25.49,8.5,1.06,9.56,2.12,4.25,1.06,3.19,141.25,67.97,4.25,6.37,11.68,174.17,0,4.25,4.25,0,45.67,1.06,1.06,0,15.93,1.06,2.12,9.56,4.25,6.37
 96-106,2.19,0,32.79,24.04,2.19,352.99,3.28,4.37,4.37,44.81,6.56,0,15.3,2.19,4.37,2.19,8.74,83.06,85.24,5.46,5.46,15.3,177.04,2.19,3.28,7.65,0,53.55,0,1.09,0,14.21,5.46,4.37,12.02,7.65,8.74
108-118,0.77,0.77,22.21,11.49,3.06,334.73,0.77,4.6,0.77,26.04,2.3,0,5.36,2.3,6.13,0,4.6,124.09,72,3.06,3.06,9.96,199.15,3.06,3.06,3.83,0.77,29.87,0.77,0,0,5.36,0,1.53,6.13,3.06,6.89
120,0,0,7.84,17.64,0,158.74,1.96,1.96,0,19.6,3.92,1.96,3.92,0,5.88,1.96,1.96,50.95,47.03,0,1.96,13.72,94.07,0,1.96,1.96,0,11.76,0,0,0,1.96,0,1.96,7.84,5.88,1.96
