stage,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0.81,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.16,1.15,0,0,1.15,0
 60-70,0,0.98,0,0,0,0,4.91,0,0,0,0,0.98
 72-82,0,0.98,0,0,0,0,1.96,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,3.19,1.06,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,5.88,1.96,0,1.96,1.96,0
