stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,2,17,1,0,0,0
 24-34,0,0.82,2.46,0,0,0,0.82,0,0,0,2.46,0,4.93,5.75,0,0,0,0,0,4.93,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.64,0,0.81,4.03,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,6.89,0,1.72,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,2.94,0,0,0,0,1.96,0,2.94,3.93,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,1.96,0,0.98,0,0,4.91,0.98,7.85,5.89,0.98,1.96,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,4.25,0,0,0,0,3.19,0,9.56,3.19,0,3.19,3.19,0,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,2.19,0,1.09,2.19,0,2.19,0,21.86,2.19,0,1.09,3.28,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,3.83,0.77,0,0.77,0,2.3,0,32.17,4.6,0.77,1.53,3.83,0.77,0,0,0,0,0,0,0,3.83,0
120,0,0,0,0,0,0,0,1.96,0,17.64,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,3.92,0
