stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,61.3,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,18.4,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,68.35,18.4,0,0,297.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,25.18,0,22.03,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.55,40.91,0,0,453.16,0,3.15,0,119.58,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,2,51,106,0,36,0,7,0,1,0,0,8,0,0,0,0,8,127,1,0,125,191,17,0,0,26,0,0,60,1,10,127,74,0,0,7,0,9
 24-34,0,0,0,72.24,23.8,0,82.09,10.67,50.89,13.95,0.82,0,0,9.03,0.82,2.46,4.93,0.82,22.16,248.72,3.28,0,174.84,261.03,10.67,1.64,2.46,0.82,0,0,2.46,0,33.66,77.16,36.94,0,0,33.66,0,45.15
 36-46,0,0,0,11.28,0.81,0,58.01,24.98,47.53,30.62,16.92,0.81,0,4.83,0,0.81,4.03,0,23.36,290.04,0,3.22,124.07,145.02,3.22,0,3.22,0,0,3.22,0.81,0.81,29.81,2.42,28.2,0,0,11.28,0,51.56
 48-58,0.57,0,0,7.46,0,0,74.02,22.95,51.64,45.33,26.4,0,0,3.44,0,0,2.87,0,19.51,384.45,0.57,7.46,91.23,96.97,1.72,0,2.87,0,4.02,1.72,0,0,28.69,0,14.35,0,3.44,5.74,1.15,57.95
 60-70,0,0,0,12.76,0,0,81.47,42.21,50.06,50.06,59.87,0,0,5.89,0,0,0.98,0.98,14.72,554.56,0,29.45,85.39,99.13,1.96,1.96,0,0,12.76,1.96,0,0,13.74,0,9.82,0,21.59,4.91,10.8,61.84
 72-82,0,0,0,7.85,0.98,0.98,51.05,15.71,41.23,61.84,60.86,0.98,0,3.93,1.96,0,11.78,0.98,14.72,640.04,0,34.36,76.57,90.31,0,0.98,0,0,10.8,6.87,0,0,11.78,0,7.85,0.98,23.56,9.82,31.41,58.9
 84-94,0,0,0,21.24,3.19,0,71.16,29.74,77.53,50.98,27.61,1.06,0,8.5,2.12,1.06,19.12,0,25.49,411.01,0,38.23,53.1,45.67,0,0,0,0,7.43,12.74,0,0,10.62,0,5.31,1.06,20.18,10.62,32.92,61.6
 96-106,0,0,0,17.49,1.09,0,32.79,32.79,65.57,40.44,52.46,1.09,0,9.84,0,0,20.76,0,21.86,315.83,2.19,20.76,50.27,48.09,1.09,0,1.09,0,19.67,7.65,0,0,21.86,0,4.37,0,15.3,7.65,31.69,55.74
108-118,0,0,0,17.62,0.77,0.77,25.28,29.87,67.4,36,32.17,0.77,0,1.53,0.77,1.53,38.3,1.53,31.4,281.87,0.77,10.72,36,45.96,0.77,0,0.77,0,20.68,4.6,0,0,21.45,0,0.77,0.77,9.19,4.6,21.45,60.51
120,0,0,0,27.44,1.96,0,23.52,21.56,37.24,17.64,9.8,0,0,1.96,0,0,17.64,1.96,5.88,190.1,3.92,9.8,31.36,33.32,0,0,0,0,17.64,5.88,1.96,0,3.92,0,1.96,0,11.76,5.88,19.6,27.44
