stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,7,0,0,0,2,0,0,0,0,0,53
 24-34,0,0,0,3.28,0.82,5.75,0,0,0,0.82,0,0,0,0,4.93,0,6.57,1.64,0,2.46,25.45,16.42,0,0.82,0,21.34,0,0.82,6.57,0.82,0,198.65
 36-46,0,0,0,2.42,0,4.83,0,0,0,0.81,0,0,0,0.81,27.39,0.81,19.34,0.81,0,4.03,44.31,4.83,0,0,0,27.39,0.81,0,8.06,0.81,0,232.84
 48-58,0,0,0,0.57,0,9.75,0,0.57,0.57,3.44,0,0,0.57,0,51.07,0.57,10.9,5.74,0,1.15,47.63,2.3,0,0,0,14.92,0,0,9.75,1.72,0,275.43
 60-70,0,0,0,0.98,0,11.78,0.98,0,0.98,1.96,0,0.98,0.98,0.98,99.13,0,1.96,6.87,0,2.94,30.43,0.98,0,0,0,4.91,0,0,7.85,1.96,0,232.62
 72-82,0,0,0,0,0,11.78,0,0.98,0,0,0,0,0,0,101.11,0,0,3.93,0,0.98,14.72,0.98,0,0,0,2.94,0,0,2.94,2.94,0,176.7
 84-94,0,0,0,2.12,0,20.18,0,1.06,0,2.12,0,0,0,0,133.82,0,0,4.25,1.06,0,5.31,2.12,1.06,0,0,2.12,0,0,1.06,0,0,139.13
 96-106,0,0,0,1.09,2.19,14.21,1.09,0,0,1.09,1.09,0,1.09,0,116.93,1.09,0,3.28,0,0,3.28,1.09,0,0,0,2.19,0,0,0,1.09,1.09,142.07
108-118,0,0,0,1.53,0,5.36,0,0.77,0,0,0,0,0.77,0,166.21,1.53,0,6.13,0,0.77,4.6,0.77,0,0,0,0,0,0,0.77,0,0,145.53
120,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0,96.03,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,56.83
