stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm
  3-4,0,65.89,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,2.63,0,0,0,21.03,0,15.77
 10-12,0,6.29,3.15,3.15,0,0,0,37.76,0,12.59
 24-34,0,0,0,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,0.98,1.96,2.94,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0
108-118,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,3.92,1.96,0
