stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,10.67,0,0,0,0.82,0,1.64,0,0,0,0.82,0,19.7,0,0,9.03,14.78,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,1.61,0,14.5,0,1.61,3.22,2.42,0,6.45,0,0,0,0.81,0.81,62.84,0,0,14.5,17.72,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,3.44,0,28.12,0,2.3,11.48,1.72,0,8.03,0,0,0,0,0.57,106.15,0,0.57,20.66,25.25,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,7.85,0,33.37,0,6.87,21.59,8.83,0,0.98,0,0,0,0,0,139.38,0,0,9.82,24.54,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0.98,0.98,0
 72-82,0,0,0,7.85,0,40.25,0.98,10.8,37.3,9.82,0,0.98,0,0,0,0,0,173.75,0,1.96,25.52,23.56,0.98,0,0,0,0,0,0,0,0.98,0,4.91,0.98,0,0
 84-94,0,0,0,20.18,0,44.61,1.06,15.93,21.24,7.43,0,2.12,0,1.06,1.06,0,0,115.76,0,3.19,9.56,22.3,0,0,0,0,1.06,1.06,0,0,0,2.12,1.06,0,0,1.06
 96-106,0,0,0,14.21,0,32.79,0,13.11,13.11,8.74,2.19,1.09,1.09,3.28,0,2.19,0,107.1,1.09,3.28,4.37,20.76,1.09,0,0,0,2.19,0,1.09,0,0,3.28,1.09,1.09,2.19,0
108-118,0,0,0,13.79,0.77,23.74,0,12.26,22.21,4.6,0,0,0.77,2.3,0,0,0,72,0.77,1.53,6.89,23.74,0,0,0,0.77,0.77,0,0,0,0,3.83,0.77,0.77,0.77,0
120,0,0,0,11.76,0,17.64,0,3.92,17.64,5.88,0,3.92,0,1.96,0,1.96,0,47.03,0,0,9.8,15.68,0,3.92,0,0,0,0,0,0,1.96,3.92,0,0,0,0
