stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,39.43,2.63,0,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,6.29,0,0,0,18.88,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,0,0,1,1,3,0,0,0,0,2,4,2,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,7.39,0,0,0,0,0,1.64,2.46,0.82
 36-46,0,0,0,0.81,0.81,2.42,0,0,0,1.61,0,5.64,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,2.87,1.15,0,0,0.57,1.15,0.57,4.59,0,0.57,0,0,0,0,1.15,0
 60-70,0,0,0,1.96,2.94,0.98,0,0,0,0.98,0.98,10.8,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,2.94,0.98,0,0,0,0.98,0.98,8.83,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0.77,1.53,0.77,0,0,0.77,1.53,0.77,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
