stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,3,0,0,0,2,0,6,0,0,0,0,2,0,0,2,14,2,0,0,0,0,1,4,0,1,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0,0,11.49,0,0,3.28,0,2.46,0,0,1.64,14.78,7.39,0,0.82,0,0.82,0,6.57,0,1.64,3.28,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0.81,0,0,7.25,0,0,0,2.42,2.42,0,0,0.81,22.56,1.61,0.81,0,0,0,0,6.45,0,0,4.03,0,0,0
 48-58,0,0,0,1.72,0,4.02,0,0,4.02,0,0,6.31,0,0,0,0.57,3.44,1.15,0,0,16.64,0,0,0,0,1.15,0,4.02,0,0,2.87,0,0,4.02
 60-70,0,0,0,2.94,0,6.87,0.98,0,23.56,1.96,0,9.82,5.89,0,0,0,4.91,0.98,0,1.96,12.76,0.98,0,0,0,0,0,5.89,0,0,3.93,0,0.98,10.8
 72-82,0,0,0,0.98,0,15.71,0.98,0,116.82,3.93,0,20.61,4.91,0,0.98,0.98,14.72,0,0.98,0.98,30.43,0,0,0.98,0,1.96,0,11.78,0,0,1.96,0.98,0.98,16.69
 84-94,0,2.12,1.06,2.12,0,10.62,0,0,54.16,10.62,1.06,16.99,3.19,0,0,0,9.56,0,0,0,20.18,0,0,0,0,0,0,14.87,0,0,1.06,0,1.06,21.24
 96-106,0,3.28,0,5.46,0,20.76,2.19,0,125.68,7.65,0,36.06,3.28,0,1.09,0,5.46,3.28,0,3.28,28.41,0,0,0,0,2.19,0,13.11,1.09,0,0,5.46,1.09,28.41
108-118,0,0,0,3.06,0,12.26,2.3,0,96.51,6.89,0.77,16.09,1.53,0.77,2.3,0.77,4.6,1.53,0.77,0.77,16.09,0,0,0,0,1.53,0,10.72,0,0,0.77,3.83,0.77,20.68
120,0,0,0,0,1.96,15.68,0,1.96,92.11,7.84,1.96,9.8,5.88,0,0,0,7.84,0,0,0,11.76,0,0,1.96,0,3.92,0,13.72,0,0,0,0,0,3.92
